Date,TMAX,TMIN,PRCP
2024-08-01,22.8,11.9,0.0
2024-08-02,20.2,9.7,0.4
2024-08-03,19.7,7.5,0.0
2024-08-04,22.6,10.6,8.8
2024-08-05,20.7,14.1,0.9
2024-08-06,18.7,13.2,0.0
2024-08-07,17.8,12.9,0.2
2024-08-08,19.5,10.8,5.7
2024-08-09,21.1,12.0,0.0
2024-08-10,22.2,,0.0
2024-08-11,23.3,,1.4
2024-08-12,20.9,,0.0
2024-08-13,21.1,10.3,0.0
2024-08-14,18.9,9.0,3.6
2024-08-15,17.5,14.2,4.4
2024-08-16,17.6,9.8,0.4
2024-08-17,19.2,,0.0
2024-08-18,17.3,,0.0
2024-08-19,16.3,10.3,7.2
2024-08-20,17.2,12.1,1.8
2024-08-21,17.7,9.3,2.4
2024-08-22,17.5,11.7,9.9
2024-08-23,17.5,10.3,2.1
2024-08-24,14.8,8.8,0.0
2024-08-25,17.4,8.0,0.8
2024-08-26,21.8,8.2,6.6
2024-08-27,21.4,13.3,0.0
2024-08-28,19.0,13.6,0.2
2024-08-29,19.4,9.2,0.0
2024-08-30,18.0,8.9,0.0
2024-08-31,16.3,7.1,0.0
2024-09-01,15.8,11.6,6.9
2024-09-02,16.8,13.2,6.8
2024-09-03,16.4,6.6,0.3
2024-09-04,18.7,7.9,0.2
2024-09-05,21.1,11.8,0.0
2024-09-06,18.8,9.8,0.0
2024-09-07,15.8,,0.2
2024-09-08,17.2,,0.8
2024-09-09,15.3,9.3,1.1
2024-09-10,14.6,9.8,0.0
2024-09-11,14.2,3.9,0.0
2024-09-12,15.6,4.4,0.0
2024-09-13,18.4,1.2,0.8
2024-09-14,18.2,,1.0
2024-09-15,17.3,,0.0
2024-09-16,22.9,1.2,0.0
2024-09-17,18.9,9.4,0.0
2024-09-18,15.2,10.9,0.0
2024-09-19,,10.8,0.0
2024-09-20,14.0,10.2,0.0
2024-09-21,13.0,11.4,0.0
2024-09-22,10.7,,0.0
2024-09-23,14.8,9.0,0.0
2024-09-24,12.5,8.6,0.0
2024-09-25,12.7,1.8,0.4
2024-09-26,12.2,6.7,0.0
2024-09-27,13.4,6.3,0.0
2024-09-28,13.8,,0.0
2024-09-29,14.2,,1.4
2024-09-30,14.5,3.4,0.0
2024-12-01,6.2,,3.6
2024-12-02,2.9,4.4,0.0
2024-12-03,10.8,-4.5,0.0
2024-12-04,9.1,-1.6,8.4
2024-12-05,7.5,-0.1,1.1
2024-12-06,7.8,2.4,19.0
2024-12-07,8.1,,0.0
2024-12-08,4.4,,0.0
2024-12-09,1.1,2.1,0.0
2024-12-10,0.1,-3.9,0.0
2024-12-11,2.1,-5.6,0.2
2024-12-12,3.2,-5.8,0.0
2024-12-13,11.1,-1.5,0.0
2024-12-14,12.8,-1.4,0.0
2024-12-15,12.3,-1.4,0.0
2024-12-16,11.6,9.8,0.0
2024-12-17,11.6,7.9,0.1
2024-12-18,6.3,,0.1
2024-12-19,9.6,0.5,0.0
2024-12-20,8.4,1.5,0.2
2024-12-21,7.2,4.6,0.6
2024-12-22,11.7,1.2,0.1
2024-12-23,13.4,1.5,0.5
2024-12-24,12.4,2.8,0.0
2024-12-25,10.4,9.9,0.0
2024-12-26,9.6,9.5,2.4
2024-12-27,10.5,7.2,0.0
2024-12-28,10.9,,0.0
2024-12-29,11.4,,0.2
2024-12-30,11.2,,16.8
2024-12-31,4.4,,0.8
2025-01-01,2.8,3.5,0.2
2025-01-02,3.3,-2.8,0.2
2025-01-03,2.4,-2.0,0.0
2025-01-04,2.9,-2.0,0.0
2025-01-05,4.0,-0.8,1.9
2025-01-06,3.2,-0.4,0.0
2025-01-13,11.1,0.8,0.0
2025-01-14,12.6,,0.0
2025-01-15,9.4,6.5,0.0
2025-01-16,10.0,3.8,0.0
2025-01-17,8.5,,0.0
2025-01-18,5.3,,0.0
2025-01-19,8.6,,0.0
2025-01-20,7.3,0.2,0.0
2025-01-21,5.1,1.3,0.0
2025-01-22,8.9,-1.0,0.3
2025-01-23,6.8,-1.6,6.3
2025-01-24,5.2,-0.6,5.4
2025-01-25,5.3,,0.6
2025-01-26,5.3,,10.2
2025-01-27,8.4,,0.6
2025-01-28,7.8,1.0,0.0
2025-01-29,6.1,,0.0
2025-01-30,6.9,,0.0
2025-01-31,7.2,0.5,0.0
2025-02-01,7.5,,0.6
2025-02-02,10.8,,0.0
2025-02-03,9.6,-0.9,1.2
2025-02-04,7.7,7.0,5.4
2025-02-05,7.9,1.4,0.0
2025-02-06,6.9,0.4,0.0
2025-02-07,6.0,-1.5,0.6
2025-02-08,5.8,,1.2
2025-02-09,4.8,,0.6
2025-02-10,5.7,-0.1,5.2
2025-02-11,5.2,2.6,0.6
2025-02-12,5.4,3.8,0.1
2025-02-13,4.6,2.9,0.5
2025-02-14,4.9,2.2,0.0
2025-02-15,5.2,0.8,0.8
2025-02-16,4.1,1.0,0.0
2025-02-17,3.9,1.0,1.0
2025-02-18,10.3,0.4,0.0
2025-02-19,13.7,1.3,6.6
2025-02-20,13.8,3.0,2.1
2025-02-21,11.8,7.2,1.0
2025-02-22,11.5,,0.8
2025-02-23,10.6,,2.4
2025-02-24,10.2,4.8,0.2
2025-02-25,6.0,3.9,0.2
2025-02-26,9.6,0.2,0.7
2025-02-27,9.1,-0.8,0.1
2025-02-28,10.2,1.4,0.0
2025-03-01,9.9,,0.0
2025-03-02,12.7,,0.0
2025-03-03,10.1,-0.2,0.0
2025-03-04,10.6,6.1,0.0
2025-03-05,15.2,8.2,0.2
2025-03-06,12.5,6.3,0.0
2025-03-07,13.4,7.5,0.6
2025-03-08,10.6,,0.2
2025-03-09,8.0,,0.0
2025-03-10,9.1,0.4,0.0
2025-03-11,7.7,-0.6,0.0
2025-03-12,6.9,1.8,0.0
2025-03-13,9.7,0.4,0.3
2025-03-14,11.2,2.0,0.0
2025-03-15,9.9,-1.4,0.0
2025-03-16,6.9,,0.0
2025-03-17,7.7,2.1,0.0
2025-03-18,9.4,-0.8,0.0
2025-03-19,11.9,-3.0,0.0
2025-03-20,10.2,-2.0,0.0
2025-03-21,13.5,,3.6
2025-03-22,9.0,,4.8
2025-03-23,14.0,,0.0
2025-03-24,17.0,3.5,1.0
2025-03-25,13.4,7.2,0.0
2025-03-26,12.0,2.3,0.1
2025-03-27,10.6,,8.3
2025-03-28,11.2,5.0,0.0
2025-03-29,15.1,,0.0
2025-03-30,18.0,,0.0
2025-03-31,15.4,2.8,0.0
