Year,Month,Day,Starting time,Finishing time,Number of Bicycles,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,Source_Camera  308 Murraygate,Source_Camera 310 - Seagate,Source_Camera 317 Reform St,Source_Camera 320 Westport,Source_Camera 323 Union Street,Source_Camera 328 South Marketgait,Source_Camera 331 Railway Station,Source_Camera 332 Waterfront,Source_Camera 500 Hilltown,TimeZone_BST,TimeZone_GMT
2024,7,24,12,13,32,2548,171,0,18.9,12.5,0.8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2024,7,28,14,15,32,1569,14,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2024,7,8,11,12,32,2090,13,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2024,7,24,12,13,32,2611,13,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2024,7,12,10,11,32,1746,7,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2024,7,30,18,19,31,743,2061,0,11.2,5.5,0.2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2024,7,25,12,13,31,1288,1923,0,19.8,12.4,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2024,7,24,18,19,31,591,1913,0,18.9,12.5,0.8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2024,7,31,16,17,31,1466,1819,0,22.9,7.9,0.3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2024,7,30,17,18,31,992,1812,0,11.2,5.5,0.2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2024,7,13,14,15,31,1062,1679,0,18.5,5.5,0.4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2024,7,2,18,19,31,723,1635,0,18.1,8.4,1.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2024,7,24,9,10,29,303,126,0,18.9,12.5,0.8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
2024,7,16,8,9,29,744,107,0,21.9,12.6,0.8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,28,17,18,29,1599,89,0,20.3,5.5,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,8,12,13,29,2594,62,0,16.9,7.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,5,17,18,29,1724,59,0,15.2,6.8,3.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,11,15,16,29,1923,52,0,18.6,10.6,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,26,13,14,29,1521,27,0,20.9,9.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,27,14,15,29,1814,11,0,22.0,5.5,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,7,17,18,29,651,6,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2024,7,23,16,17,28,679,2022,0,20.1,12.5,0.2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2024,7,31,7,8,28,460,1745,0,22.9,7.9,0.3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2024,7,5,8,9,28,808,1713,0,15.2,6.8,3.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2024,7,23,18,19,28,450,1233,0,20.1,12.5,0.2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2024,7,1,19,20,28,595,1189,0,16.7,8.5,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2024,7,24,18,19,28,178,1094,0,18.9,12.5,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
2024,7,15,15,16,28,307,1046,0,19.2,10.6,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,3,18,19,28,287,947,0,16.2,8.1,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
2024,7,12,18,19,28,315,936,0,16.3,9.2,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,28,11,12,28,214,714,0,20.3,5.5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,31,18,19,28,282,696,0,22.9,7.9,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
2024,7,15,16,17,28,184,314,0,19.2,10.6,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2024,7,25,16,17,28,2345,291,0,19.8,12.4,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,31,19,20,28,706,272,0,22.9,7.9,0.3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2024,7,14,13,14,28,2647,157,0,20.1,5.5,0.4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,29,16,17,28,1687,142,0,21.6,5.5,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,16,14,15,28,1938,137,0,21.9,12.6,0.8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,2,14,15,28,1933,102,0,18.1,8.4,1.5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,23,22,23,28,575,74,0,20.1,12.5,0.2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,25,17,18,28,1453,29,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2024,7,23,14,15,28,2458,26,0,20.1,12.5,0.2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,26,12,13,28,3228,23,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2024,7,5,17,18,27,970,2083,0,15.2,6.8,3.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2024,7,5,16,17,27,1101,2044,0,15.2,6.8,3.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2024,7,25,11,12,27,995,1920,0,19.8,12.4,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2024,7,5,8,9,27,318,1731,0,15.2,6.8,3.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2024,7,7,10,11,27,1144,1645,0,19.4,8.4,2.8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2024,7,2,19,20,27,866,1423,0,18.1,8.4,1.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2024,7,26,11,12,27,599,1035,0,20.9,9.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,30,8,9,27,559,999,0,11.2,5.5,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,16,8,9,27,180,978,0,21.9,12.6,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,24,10,11,27,260,932,0,18.9,12.5,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
2024,7,2,18,19,27,215,927,0,18.1,8.4,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,16,11,12,27,250,715,0,21.9,12.6,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,15,22,23,27,322,447,0,19.2,10.6,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2024,7,25,11,12,27,2021,240,0,19.8,12.4,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,13,12,13,27,2838,171,0,18.5,5.5,0.4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,2,8,9,27,673,143,0,18.1,8.4,1.5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,3,8,9,27,644,140,0,16.2,8.1,0.6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2024,7,15,8,9,27,609,118,0,19.2,10.6,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,10,17,18,27,1569,91,0,16.6,11.2,1.1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2024,7,31,13,14,50,547,1061,0,22.9,7.9,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
2024,7,10,12,13,50,2690,91,0,16.6,11.2,1.1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2024,7,27,14,15,50,3409,21,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2024,7,31,13,14,50,3282,21,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2024,7,23,18,19,49,329,1006,0,20.1,12.5,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,24,10,11,49,341,166,0,18.9,12.5,0.8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
2024,7,30,12,13,49,2519,138,0,11.2,5.5,0.2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,23,20,21,49,1211,83,0,20.1,12.5,0.2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,31,16,17,49,2433,65,0,22.9,7.9,0.3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2024,7,6,15,16,49,3262,21,0,16.7,8.4,5.9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,30,11,12,49,1746,8,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2024,7,5,16,17,48,391,1456,0,15.2,6.8,3.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,23,17,18,48,571,1339,0,20.1,12.5,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,9,18,19,48,240,1032,0,16.7,10.8,2.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,26,19,20,48,204,1027,0,20.9,9.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,29,13,14,48,492,1024,0,21.6,5.5,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,28,0,1,48,682,39,0,20.3,5.5,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,24,18,19,47,164,1128,0,18.9,12.5,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2024,7,1,16,17,47,294,954,0,16.7,8.5,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,23,14,15,47,379,915,0,20.1,12.5,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,31,11,12,47,2630,188,0,22.9,7.9,0.3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2024,7,10,16,17,47,1850,42,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2024,7,27,10,11,47,1793,21,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2024,7,24,13,14,46,390,1039,0,18.9,12.5,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2024,7,26,12,13,46,1708,185,0,20.9,9.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,10,18,19,46,1427,167,0,16.6,11.2,1.1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2024,7,15,12,13,46,3599,165,0,19.2,10.6,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,12,8,9,46,889,99,0,16.3,9.2,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,26,13,14,46,2970,25,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2024,7,31,16,17,46,1533,13,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2024,7,25,13,14,45,1245,1857,0,19.8,12.4,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2024,7,24,16,17,45,180,1231,0,18.9,12.5,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
2024,7,31,19,20,45,26,905,0,22.9,7.9,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
2024,7,30,19,20,45,193,748,0,11.2,5.5,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,31,19,20,45,1769,240,0,22.9,7.9,0.3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2024,7,27,11,12,45,1994,112,0,22.0,5.5,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,25,18,19,44,894,1726,0,19.8,12.4,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2024,7,9,17,18,44,312,1190,0,16.7,10.8,2.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,30,17,18,44,341,1075,0,11.2,5.5,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
