ds,y,Year,Month,Day,Starting time,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,Source_Camera  308 Murraygate,Source_Camera 310 - Seagate,Source_Camera 317 Reform St,Source_Camera 320 Westport,Source_Camera 323 Union Street,Source_Camera 328 South Marketgait,Source_Camera 331 Railway Station,Source_Camera 332 Waterfront,Source_Camera 500 Hilltown,TimeZone_BST,TimeZone_GMT
2023-08-01 14:00:00,52,2023,8,1,14,15,9,1422,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2023-08-01 14:00:00,1949,2023,8,1,14,15,17,1293,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2023-08-01 14:00:00,503,2023,8,1,14,15,7,1987,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2023-08-01 15:00:00,509,2023,8,1,15,16,1,1251,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2023-08-01 15:00:00,2163,2023,8,1,15,16,16,1163,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2023-08-01 15:00:00,160,2023,8,1,15,16,37,1912,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2023-08-01 15:00:00,1076,2023,8,1,15,16,30,465,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2023-08-01 15:00:00,10,2023,8,1,15,16,17,2811,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2023-08-01 15:00:00,10,2023,8,1,15,16,11,978,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2023-08-01 15:00:00,1831,2023,8,1,15,16,15,509,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2023-08-01 15:00:00,1664,2023,8,1,15,16,38,1237,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2023-08-01 16:00:00,435,2023,8,1,16,17,7,1463,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2023-08-01 16:00:00,1303,2023,8,1,16,17,25,380,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2023-08-01 16:00:00,2274,2023,8,1,16,17,46,1360,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2023-08-01 16:00:00,2324,2023,8,1,16,17,16,1359,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2023-08-01 16:00:00,2144,2023,8,1,16,17,17,630,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2023-08-01 16:00:00,7,2023,8,1,16,17,16,827,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2023-08-01 16:00:00,178,2023,8,1,16,17,44,1969,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2023-08-01 16:00:00,16,2023,8,1,16,17,14,2207,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2023-08-01 17:00:00,11,2023,8,1,17,18,3,541,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2023-08-01 17:00:00,1237,2023,8,1,17,18,52,393,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2023-08-01 17:00:00,1748,2023,8,1,17,18,21,1015,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2023-08-01 17:00:00,10,2023,8,1,17,18,14,1416,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2023-08-01 17:00:00,246,2023,8,1,17,18,27,2104,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2023-08-01 17:00:00,432,2023,8,1,17,18,12,1247,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2023-08-01 17:00:00,2784,2023,8,1,17,18,68,1176,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2023-08-01 17:00:00,2310,2023,8,1,17,18,22,681,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2023-08-01 18:00:00,6,2023,8,1,18,19,3,457,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2023-08-01 18:00:00,3,2023,8,1,18,19,13,573,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2023-08-01 18:00:00,318,2023,8,1,18,19,2,745,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2023-08-01 18:00:00,1508,2023,8,1,18,19,13,637,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2023-08-01 18:00:00,236,2023,8,1,18,19,61,2279,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2023-08-01 18:00:00,2088,2023,8,1,18,19,47,927,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2023-08-01 18:00:00,1039,2023,8,1,18,19,33,224,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2023-08-01 18:00:00,2195,2023,8,1,18,19,14,1007,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2023-08-01 19:00:00,813,2023,8,1,19,20,31,208,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2023-08-01 19:00:00,243,2023,8,1,19,20,4,477,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2023-08-01 19:00:00,1405,2023,8,1,19,20,46,862,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2023-08-01 19:00:00,10,2023,8,1,19,20,4,341,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2023-08-01 19:00:00,1554,2023,8,1,19,20,23,857,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2023-08-01 19:00:00,211,2023,8,1,19,20,13,1258,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2023-08-01 19:00:00,7,2023,8,1,19,20,8,358,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
