ds,y,Year,Month,Day,Starting time,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,Source_Camera  308 Murraygate,Source_Camera 310 - Seagate,Source_Camera 317 Reform St,Source_Camera 320 Westport,Source_Camera 323 Union Street,Source_Camera 328 South Marketgait,Source_Camera 331 Railway Station,Source_Camera 332 Waterfront,Source_Camera 500 Hilltown,TimeZone_BST,TimeZone_GMT,days_since_record
2023-08-01 08:00:00,426,2023,8,1,8,9,13,1072,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2023-08-01 09:00:00,354,2023,8,1,9,10,1,8,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2023-08-01 09:00:00,367,2023,8,1,9,10,6,1585,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2023-08-01 09:00:00,575,2023,8,1,9,10,7,869,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2023-08-01 09:00:00,764,2023,8,1,9,10,28,1872,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2023-08-01 09:00:00,875,2023,8,1,9,10,17,192,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2023-08-01 09:00:00,283,2023,8,1,9,10,55,2018,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2023-08-01 09:00:00,1236,2023,8,1,9,10,9,25,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2023-08-01 09:00:00,959,2023,8,1,9,10,5,347,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2023-08-01 10:00:00,1158,2023,8,1,10,11,16,1863,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2023-08-01 10:00:00,369,2023,8,1,10,11,60,1997,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2023-08-01 10:00:00,2179,2023,8,1,10,11,20,22,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2023-08-01 10:00:00,396,2023,8,1,10,11,12,1555,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2023-08-01 10:00:00,554,2023,8,1,10,11,3,11,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2023-08-01 10:00:00,1398,2023,8,1,10,11,13,408,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2023-08-01 10:00:00,518,2023,8,1,10,11,24,956,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2023-08-01 10:00:00,1455,2023,8,1,10,11,46,195,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2023-08-01 11:00:00,441,2023,8,1,11,12,25,1657,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2023-08-01 11:00:00,582,2023,8,1,11,12,53,2348,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2023-08-01 11:00:00,1606,2023,8,1,11,12,34,209,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2023-08-01 11:00:00,1206,2023,8,1,11,12,19,2040,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2023-08-01 11:00:00,1796,2023,8,1,11,12,7,431,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2023-08-01 11:00:00,782,2023,8,1,11,12,5,9,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2023-08-01 11:00:00,3143,2023,8,1,11,12,12,10,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2023-08-01 11:00:00,343,2023,8,1,11,12,18,1220,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2023-08-01 12:00:00,470,2023,8,1,12,13,1,1,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2023-08-01 12:00:00,608,2023,8,1,12,13,18,1735,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2023-08-01 12:00:00,889,2023,8,1,12,13,4,5,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2023-08-01 12:00:00,1746,2023,8,1,12,13,7,497,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2023-08-01 12:00:00,1232,2023,8,1,12,13,9,1962,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2023-08-01 12:00:00,511,2023,8,1,12,13,48,2415,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2023-08-01 12:00:00,511,2023,8,1,12,13,33,1204,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2023-08-01 12:00:00,3349,2023,8,1,12,13,13,19,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2023-08-01 13:00:00,482,2023,8,1,13,14,22,1064,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2023-08-01 13:00:00,3351,2023,8,1,13,14,28,16,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2023-08-01 13:00:00,933,2023,8,1,13,14,8,5,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2023-08-01 13:00:00,1343,2023,8,1,13,14,27,1760,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2023-08-01 13:00:00,812,2023,8,1,13,14,1,7,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2023-08-01 13:00:00,558,2023,8,1,13,14,45,2114,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2023-08-01 13:00:00,1640,2023,8,1,13,14,2,510,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2023-08-01 13:00:00,675,2023,8,1,13,14,19,1751,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2023-08-01 14:00:00,393,2023,8,1,14,15,25,1261,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2023-08-01 14:00:00,570,2023,8,1,14,15,10,1756,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2023-08-01 14:00:00,787,2023,8,1,14,15,0,8,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2023-08-01 14:00:00,3313,2023,8,1,14,15,18,12,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2023-08-01 14:00:00,637,2023,8,1,14,15,61,1940,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2023-08-01 14:00:00,1422,2023,8,1,14,15,9,52,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2023-08-01 14:00:00,1293,2023,8,1,14,15,17,1949,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2023-08-01 14:00:00,1987,2023,8,1,14,15,7,503,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2023-08-01 15:00:00,1251,2023,8,1,15,16,1,509,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2023-08-01 15:00:00,1163,2023,8,1,15,16,16,2163,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2023-08-01 15:00:00,1912,2023,8,1,15,16,37,160,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2023-08-01 15:00:00,465,2023,8,1,15,16,30,1076,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2023-08-01 15:00:00,2811,2023,8,1,15,16,17,10,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2023-08-01 15:00:00,978,2023,8,1,15,16,11,10,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
