ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-18 01:00:00,17,2,0,80,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-12 23:00:00,254,0,1,480,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-06 07:00:00,60,8,3,283,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-14 22:00:00,86,23,2,140,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-05 10:00:00,389,11,4,780,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-16 03:00:00,14,4,0,8,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-18 02:00:00,12,3,0,104,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-12 20:00:00,245,21,1,392,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-06 10:00:00,222,11,2,754,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-14 00:00:00,30,1,2,135,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-05 08:00:00,228,9,3,363,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-16 01:00:00,12,2,0,15,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-18 04:00:00,11,5,0,5,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-12 08:00:00,222,9,1,458,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-06 22:00:00,174,23,2,232,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-14 05:00:00,15,6,2,46,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 23:00:00,90,0,1,72,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 02:00:00,60,3,1,231,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 03:00:00,22,4,0,22,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 01:00:00,21,2,0,80,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 04:00:00,13,5,0,8,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-15 18:00:00,71,19,16,537,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 07:00:00,208,8,15,167,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 16:00:00,310,17,13,972,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 10:00:00,449,11,11,1222,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 09:00:00,361,10,10,534,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 15:00:00,345,16,10,893,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
