ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-12-08 08:00:00,676,9,6,54,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-07 09:00:00,130,10,2,22,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-08 21:00:00,379,22,0,75,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 15:00:00,361,16,5,76,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 18:00:00,609,19,3,123,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-09 09:00:00,795,10,22,46,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-07 17:00:00,18,18,2,39,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-08 19:00:00,671,20,2,74,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 23:00:00,84,0,0,14,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 00:00:00,58,1,0,11,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 05:00:00,28,6,0,11,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 04:00:00,28,5,0,5,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 01:00:00,24,2,0,16,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 02:00:00,17,3,0,10,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 03:00:00,14,4,0,2,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-07 12:00:00,8,13,0,23,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-09 10:00:00,1540,11,13,77,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-08 17:00:00,336,18,2,87,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-09 13:00:00,299,14,9,116,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-09 11:00:00,456,12,6,62,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
