ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-23 00:00:00,32,1,4,117,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0
2023-08-23 05:00:00,33,6,1,116,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0
2023-08-23 04:00:00,9,5,1,64,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0
2023-08-23 01:00:00,19,2,1,51,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0
2023-08-23 02:00:00,13,3,0,28,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0
2023-08-23 03:00:00,5,4,0,25,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0
2023-08-24 08:00:00,216,9,126,1846,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-24 09:00:00,298,10,94,1954,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-24 17:00:00,286,18,83,2800,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-24 16:00:00,278,17,71,3231,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-24 10:00:00,312,11,68,1931,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-24 12:00:00,401,13,65,2278,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-24 15:00:00,371,16,60,2488,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-24 11:00:00,340,12,59,1957,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-24 07:00:00,118,8,58,1894,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-24 14:00:00,299,15,53,2288,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-24 18:00:00,287,19,48,2379,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-30 05:00:00,18,6,3,225,0,17.9,7.7,0.0,0,0,0,0,0,0,1,1,0
2023-08-18 23:00:00,120,0,8,458,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-30 23:00:00,45,0,2,301,0,17.9,7.7,0.0,0,0,0,0,0,0,1,1,0
2023-08-18 20:00:00,144,21,6,1102,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-30 04:00:00,5,5,1,84,0,17.9,7.7,0.0,0,0,0,0,0,0,1,1,0
2023-08-18 00:00:00,41,1,2,164,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-30 01:00:00,7,2,0,124,0,17.9,7.7,0.0,0,0,0,0,0,0,1,1,0
2023-08-18 04:00:00,3,5,1,93,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-30 03:00:00,6,4,0,59,0,17.9,7.7,0.0,0,0,0,0,0,0,1,1,0
2023-08-18 02:00:00,0,3,1,75,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-30 02:00:00,2,3,0,56,0,17.9,7.7,0.0,0,0,0,0,0,0,1,1,0
2023-08-18 05:00:00,13,6,0,249,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-31 09:00:00,332,10,94,2429,0,17.8,7.5,0.0,0,0,0,0,1,0,0,1,0
2023-08-18 01:00:00,7,2,0,65,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-31 16:00:00,1863,17,73,1966,0,17.8,7.5,0.0,0,0,0,0,1,0,0,1,0
2023-08-18 03:00:00,0,4,0,53,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-31 13:00:00,1354,14,71,2073,0,17.8,7.5,0.0,0,0,0,0,1,0,0,1,0
2023-08-19 11:00:00,555,12,55,2091,0,21.8,13.4,0.0,0,0,1,0,0,0,0,1,0
