ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-02 19:00:00,472,20,10,47,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-15 12:00:00,5159,13,32,60,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-02 09:00:00,1132,10,8,50,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-15 10:00:00,3298,11,30,76,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 14:00:00,2987,15,22,45,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-02 08:00:00,637,9,6,43,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 06:00:00,74,7,6,17,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 13:00:00,1312,14,6,13,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 21:00:00,308,22,6,8,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 14:00:00,656,15,5,5,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 16:00:00,556,17,5,4,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-02 07:00:00,198,8,4,41,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-15 09:00:00,1785,10,17,82,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-02 05:00:00,25,6,3,17,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-15 19:00:00,216,20,14,74,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-02 01:00:00,10,2,1,20,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-15 11:00:00,3912,12,12,76,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-02 04:00:00,8,5,1,6,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-15 08:00:00,706,9,12,61,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-02 20:00:00,263,21,1,5,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-15 17:00:00,993,18,12,58,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-02 22:00:00,135,23,1,5,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-15 16:00:00,2002,17,11,55,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-02 00:00:00,40,1,0,21,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-15 13:00:00,3980,14,11,52,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-02 02:00:00,6,3,0,13,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
