ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2023-10-06 01:00:00,0,2,0,28,0,11.0,10.5,28.3,1,0,0,0,0,0,0,1,0,0
2023-10-06 04:00:00,0,5,0,27,0,11.0,10.5,28.3,1,0,0,0,0,0,0,1,0,0
2023-10-06 03:00:00,0,4,0,24,0,11.0,10.5,28.3,1,0,0,0,0,0,0,1,0,0
2023-10-06 02:00:00,0,3,0,16,0,11.0,10.5,28.3,1,0,0,0,0,0,0,1,0,0
2023-10-07 15:00:00,539,16,16,1814,0,14.6,9.5,56.3,0,0,1,0,0,0,0,1,0,0
2023-10-06 17:00:00,1549,18,48,2448,0,11.0,10.5,28.3,1,0,0,0,0,0,0,1,0,0
2023-10-06 16:00:00,1760,17,39,2667,0,11.0,10.5,28.3,1,0,0,0,0,0,0,1,0,0
2023-10-06 09:00:00,180,10,37,1823,0,11.0,10.5,28.3,1,0,0,0,0,0,0,1,0,0
2023-10-06 14:00:00,1194,15,29,2066,0,11.0,10.5,28.3,1,0,0,0,0,0,0,1,0,0
2023-10-06 15:00:00,1520,16,25,2344,0,11.0,10.5,28.3,1,0,0,0,0,0,0,1,0,0
2023-10-06 13:00:00,964,14,24,2053,0,11.0,10.5,28.3,1,0,0,0,0,0,0,1,0,0
2023-10-06 08:00:00,76,9,23,2199,0,11.0,10.5,28.3,1,0,0,0,0,0,0,1,0,0
2023-10-06 12:00:00,670,13,21,1939,0,11.0,10.5,28.3,1,0,0,0,0,0,0,1,0,0
2023-10-06 18:00:00,799,19,20,1802,0,11.0,10.5,28.3,1,0,0,0,0,0,0,1,0,0
2023-10-06 07:00:00,60,8,16,1464,0,11.0,10.5,28.3,1,0,0,0,0,0,0,1,0,0
2023-10-07 11:00:00,510,12,10,2122,0,14.6,9.5,56.3,0,0,1,0,0,0,0,1,0,0
2023-10-07 09:00:00,380,10,2,1432,0,14.6,9.5,56.3,0,0,1,0,0,0,0,1,0,0
2023-10-07 14:00:00,788,15,9,2203,0,14.6,9.5,56.3,0,0,1,0,0,0,0,1,0,0
2023-10-07 12:00:00,611,13,7,2162,0,14.6,9.5,56.3,0,0,1,0,0,0,0,1,0,0
2023-10-07 13:00:00,547,14,6,2077,0,14.6,9.5,56.3,0,0,1,0,0,0,0,1,0,0
2023-10-06 11:00:00,352,12,11,1733,0,11.0,10.5,28.3,1,0,0,0,0,0,0,1,0,0
2023-10-07 10:00:00,400,11,6,1775,0,14.6,9.5,56.3,0,0,1,0,0,0,0,1,0,0
2023-10-07 16:00:00,593,17,4,1834,0,14.6,9.5,56.3,0,0,1,0,0,0,0,1,0,0
2023-10-07 08:00:00,245,9,3,1083,0,14.6,9.5,56.3,0,0,1,0,0,0,0,1,0,0
2023-10-07 17:00:00,320,18,1,1378,0,14.6,9.5,56.3,0,0,1,0,0,0,0,1,0,0
2023-10-07 22:00:00,103,23,1,502,0,14.6,9.5,56.3,0,0,1,0,0,0,0,1,0,0
2023-10-07 23:00:00,75,0,1,357,0,14.6,9.5,56.3,0,0,1,0,0,0,0,1,0,0
2023-10-06 19:00:00,907,20,6,1406,0,11.0,10.5,28.3,1,0,0,0,0,0,0,1,0,0
2023-10-05 20:00:00,366,21,0,935,0,18.0,6.0,5.1,0,0,0,0,1,0,0,1,0,0
2023-10-05 00:00:00,66,1,0,162,0,18.0,6.0,5.1,0,0,0,0,1,0,0,1,0,0
2023-10-05 01:00:00,31,2,0,100,0,18.0,6.0,5.1,0,0,0,0,1,0,0,1,0,0
2023-10-05 04:00:00,35,5,0,86,0,18.0,6.0,5.1,0,0,0,0,1,0,0,1,0,0
2023-10-05 02:00:00,15,3,0,77,0,18.0,6.0,5.1,0,0,0,0,1,0,0,1,0,0
2023-10-05 03:00:00,1,4,0,57,0,18.0,6.0,5.1,0,0,0,0,1,0,0,1,0,0
2023-10-05 06:00:00,228,7,3,584,0,18.0,6.0,5.1,0,0,0,0,1,0,0,1,0,0
2023-10-05 22:00:00,368,23,3,456,0,18.0,6.0,5.1,0,0,0,0,1,0,0,1,0,0
2023-10-05 19:00:00,536,20,1,1450,0,18.0,6.0,5.1,0,0,0,0,1,0,0,1,0,0
2023-10-05 21:00:00,358,22,1,684,0,18.0,6.0,5.1,0,0,0,0,1,0,0,1,0,0
2023-10-05 05:00:00,62,6,1,237,0,18.0,6.0,5.1,0,0,0,0,1,0,0,1,0,0
2023-10-05 23:00:00,141,0,1,226,0,18.0,6.0,5.1,0,0,0,0,1,0,0,1,0,0
2023-10-08 21:00:00,150,22,0,337,0,17.6,8.5,5.4,0,0,0,1,0,0,0,1,0,0
2023-10-08 00:00:00,72,1,0,266,0,17.6,8.5,5.4,0,0,0,1,0,0,0,1,0,0
2023-10-08 07:00:00,68,8,0,229,0,17.6,8.5,5.4,0,0,0,1,0,0,0,1,0,0
2023-10-08 01:00:00,44,2,0,219,0,17.6,8.5,5.4,0,0,0,1,0,0,0,1,0,0
2023-10-08 06:00:00,9,7,0,158,0,17.6,8.5,5.4,0,0,0,1,0,0,0,1,0,0
2023-10-08 02:00:00,21,3,0,124,0,17.6,8.5,5.4,0,0,0,1,0,0,0,1,0,0
2023-10-08 13:00:00,806,14,14,632,0,17.6,8.5,5.4,0,0,0,1,0,0,0,1,0,0
2023-10-08 03:00:00,52,4,0,112,0,17.6,8.5,5.4,0,0,0,1,0,0,0,1,0,0
2023-10-08 15:00:00,751,16,13,1902,0,17.6,8.5,5.4,0,0,0,1,0,0,0,1,0,0
2023-10-08 23:00:00,28,0,0,99,0,17.6,8.5,5.4,0,0,0,1,0,0,0,1,0,0
2023-10-08 16:00:00,636,17,11,1725,0,17.6,8.5,5.4,0,0,0,1,0,0,0,1,0,0
2023-10-08 22:00:00,24,23,0,80,0,17.6,8.5,5.4,0,0,0,1,0,0,0,1,0,0
2023-10-08 10:00:00,366,11,2,1096,0,17.6,8.5,5.4,0,0,0,1,0,0,0,1,0,0
2023-10-08 14:00:00,1210,15,10,2476,0,17.6,8.5,5.4,0,0,0,1,0,0,0,1,0,0
2023-10-09 14:00:00,997,15,28,371,0,18.0,8.1,0.0,0,1,0,0,0,0,0,1,0,0
2023-10-08 08:00:00,117,9,2,547,0,17.6,8.5,5.4,0,0,0,1,0,0,0,1,0,0
2023-10-08 19:00:00,124,20,1,305,0,17.6,8.5,5.4,0,0,0,1,0,0,0,1,0,0
2023-10-08 20:00:00,94,21,1,172,0,17.6,8.5,5.4,0,0,0,1,0,0,0,1,0,0
2023-10-08 18:00:00,450,19,10,1099,0,17.6,8.5,5.4,0,0,0,1,0,0,0,1,0,0
2023-10-08 12:00:00,587,13,10,603,0,17.6,8.5,5.4,0,0,0,1,0,0,0,1,0,0
2023-10-09 11:00:00,1029,12,10,561,0,18.0,8.1,0.0,0,1,0,0,0,0,0,1,0,0
2023-10-08 17:00:00,709,18,19,2119,0,17.6,8.5,5.4,0,0,0,1,0,0,0,1,0,0
2023-10-09 10:00:00,765,11,9,1291,0,18.0,8.1,0.0,0,1,0,0,0,0,0,1,0,0
2023-10-08 09:00:00,242,10,6,1016,0,17.6,8.5,5.4,0,0,0,1,0,0,0,1,0,0
2023-10-08 11:00:00,621,12,5,2056,0,17.6,8.5,5.4,0,0,0,1,0,0,0,1,0,0
2023-10-08 05:00:00,8,6,0,63,0,17.6,8.5,5.4,0,0,0,1,0,0,0,1,0,0
2023-10-09 16:00:00,1055,17,20,2206,0,18.0,8.1,0.0,0,1,0,0,0,0,0,1,0,0
2023-10-08 04:00:00,3,5,0,42,0,17.6,8.5,5.4,0,0,0,1,0,0,0,1,0,0
2023-10-09 08:00:00,496,9,20,1870,0,18.0,8.1,0.0,0,1,0,0,0,0,0,1,0,0
2023-10-09 22:00:00,239,23,6,392,0,18.0,8.1,0.0,0,1,0,0,0,0,0,1,0,0
2023-10-09 07:00:00,338,8,5,1251,0,18.0,8.1,0.0,0,1,0,0,0,0,0,1,0,0
2023-10-09 06:00:00,163,7,4,408,0,18.0,8.1,0.0,0,1,0,0,0,0,0,1,0,0
2023-10-09 21:00:00,328,22,2,534,0,18.0,8.1,0.0,0,1,0,0,0,0,0,1,0,0
2023-10-07 19:00:00,142,20,0,694,0,14.6,9.5,56.3,0,0,1,0,0,0,0,1,0,0
2023-10-07 20:00:00,281,21,0,673,0,14.6,9.5,56.3,0,0,1,0,0,0,0,1,0,0
2023-10-07 21:00:00,173,22,0,504,0,14.6,9.5,56.3,0,0,1,0,0,0,0,1,0,0
2023-10-07 07:00:00,107,8,0,375,0,14.6,9.5,56.3,0,0,1,0,0,0,0,1,0,0
2023-10-07 00:00:00,87,1,0,273,0,14.6,9.5,56.3,0,0,1,0,0,0,0,1,0,0
2023-10-07 06:00:00,67,7,0,263,0,14.6,9.5,56.3,0,0,1,0,0,0,0,1,0,0
2023-10-07 01:00:00,19,2,0,138,0,14.6,9.5,56.3,0,0,1,0,0,0,0,1,0,0
2023-10-07 05:00:00,38,6,0,135,0,14.6,9.5,56.3,0,0,1,0,0,0,0,1,0,0
2023-10-07 02:00:00,32,3,0,124,0,14.6,9.5,56.3,0,0,1,0,0,0,0,1,0,0
2023-10-07 18:00:00,53,19,0,100,0,14.6,9.5,56.3,0,0,1,0,0,0,0,1,0,0
2023-10-07 04:00:00,9,5,0,81,0,14.6,9.5,56.3,0,0,1,0,0,0,0,1,0,0
2023-10-07 03:00:00,44,4,0,78,0,14.6,9.5,56.3,0,0,1,0,0,0,0,1,0,0
2023-10-09 09:00:00,524,10,18,1227,0,18.0,8.1,0.0,0,1,0,0,0,0,0,1,0,0
2023-10-09 15:00:00,876,16,17,1504,0,18.0,8.1,0.0,0,1,0,0,0,0,0,1,0,0
