ds,y,Finishing time,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-14 08:00:00,3,9,3,803,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-09 18:00:00,3,19,66,676,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-09 19:00:00,3,20,64,573,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-03 14:00:00,3,15,181,53,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-03 13:00:00,3,14,75,150,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-24 09:00:00,3,10,27,142,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-23 13:00:00,3,14,33,138,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-09 06:00:00,4,7,22,446,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-06 07:00:00,3,8,21,108,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-16 12:00:00,4,13,74,24,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-04 18:00:00,4,19,24,18,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-10 15:00:00,4,16,48,17,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-11 12:00:00,3,13,460,15,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-05 15:00:00,3,16,46,10,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-02 07:00:00,3,8,6,9,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-01 12:00:00,2,13,18,312,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-16 11:00:00,3,12,118,8,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-01 18:00:00,3,19,6,6,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-03 22:00:00,2,23,74,146,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-08 21:00:00,2,22,12,283,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-06 15:00:00,3,16,27,4,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-07 15:00:00,3,16,79,4,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-04 11:00:00,3,12,143,4,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-10 11:00:00,3,12,75,3,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-01 16:00:00,3,17,5,2,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-13 16:00:00,3,17,42,2,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-16 07:00:00,3,8,7,2,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-08 19:00:00,3,20,13,1,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-08 20:00:00,3,21,11,0,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-04 05:00:00,3,6,6,0,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-14 09:00:00,2,10,23,1175,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-15 07:00:00,2,8,11,781,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-01 11:00:00,2,12,2,247,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-04 01:00:00,2,2,6,9,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-04 14:00:00,2,15,49,6,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-03 12:00:00,2,13,79,44,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-13 08:00:00,1,9,12,610,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-15 21:00:00,1,22,13,235,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-01 14:00:00,2,15,7,3,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-09 20:00:00,1,21,22,409,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-07 17:00:00,2,18,22,3,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-10 23:00:00,1,0,43,87,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-16 10:00:00,2,11,25,3,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-15 05:00:00,1,6,1,57,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-10 22:00:00,1,23,48,17,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-13 19:00:00,1,20,8,387,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-06 10:00:00,2,11,14,2,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-06 08:00:00,1,9,13,15,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-16 14:00:00,2,15,86,2,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-04 00:00:00,1,1,8,15,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-15 20:00:00,1,21,14,361,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-16 06:00:00,2,7,8,2,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-06 09:00:00,2,10,10,1,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
