ds,y,Finishing time,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-25 17:00:00,8,18,508,1470,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-09 18:00:00,8,19,412,1451,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-26 10:00:00,8,11,221,1428,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-15 18:00:00,8,19,411,1376,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-08 18:00:00,8,19,354,1342,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-03 10:00:00,8,11,269,1310,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-05 19:00:00,8,20,649,1301,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-16 13:00:00,8,14,356,1235,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-07 12:00:00,8,13,240,1216,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-25 15:00:00,8,16,334,1214,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-28 16:00:00,8,17,438,1120,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-11 10:00:00,8,11,253,1105,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-13 14:00:00,8,15,376,1049,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-15 14:00:00,8,15,405,1033,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-14 10:00:00,8,11,214,977,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-24 07:00:00,8,8,137,913,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-06 19:00:00,8,20,522,910,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-10 20:00:00,8,21,272,881,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-27 18:00:00,8,19,525,822,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-13 13:00:00,8,14,406,773,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-12 07:00:00,8,8,106,730,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-28 19:00:00,7,20,225,964,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-07 21:00:00,8,22,293,639,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-25 07:00:00,8,8,152,632,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-15 09:00:00,7,10,352,935,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-14 00:00:00,8,1,145,602,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-07 10:00:00,7,11,199,924,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-24 21:00:00,7,22,295,799,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-29 20:00:00,7,21,372,694,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-14 01:00:00,8,2,154,477,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-13 23:00:00,7,0,164,622,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-23 14:00:00,8,15,389,454,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-06 00:00:00,7,1,192,461,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-26 06:00:00,7,7,34,293,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-08 16:00:00,6,17,472,1692,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-12 16:00:00,6,17,455,1676,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-13 12:00:00,6,13,324,1613,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-04 14:00:00,6,15,356,1563,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-02 09:00:00,6,10,257,1548,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-30 14:00:00,6,15,625,1524,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-03 15:00:00,6,16,343,1411,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-09 15:00:00,6,16,341,1337,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-14 12:00:00,6,13,263,1315,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-06 10:00:00,6,11,264,1263,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-10 08:00:00,7,9,340,1817,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-05 16:00:00,7,17,424,1753,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-31 15:00:00,7,16,406,1728,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-12 17:00:00,7,18,315,1613,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
