ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2023-08-29 16:00:00,117,17,26,2036,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0,0
2023-08-27 20:00:00,168,21,22,905,0,18.6,5.5,4.8,0,0,0,1,0,0,0,1,0,0
2023-08-31 10:00:00,58,11,10,1381,0,17.8,7.5,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-29 17:00:00,114,18,23,1141,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0,0
2023-08-27 08:00:00,95,9,22,212,0,18.6,5.5,4.8,0,0,0,1,0,0,0,1,0,0
2023-08-31 09:00:00,29,10,10,1131,0,17.8,7.5,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-25 17:00:00,296,18,48,1699,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0,0
2023-08-29 20:00:00,191,21,14,854,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0,0
2023-08-27 09:00:00,101,10,18,353,0,18.6,5.5,4.8,0,0,0,1,0,0,0,1,0,0
2023-08-31 20:00:00,215,21,9,980,0,17.8,7.5,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-25 18:00:00,277,19,48,1470,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0,0
2023-08-29 07:00:00,81,8,14,293,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0,0
2023-08-27 15:00:00,145,16,17,1356,0,18.6,5.5,4.8,0,0,0,1,0,0,0,1,0,0
2023-08-31 06:00:00,35,7,8,156,0,17.8,7.5,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-25 09:00:00,189,10,44,1085,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0,0
2023-08-29 06:00:00,47,7,14,146,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0,0
2023-08-27 18:00:00,170,19,16,1266,0,18.6,5.5,4.8,0,0,0,1,0,0,0,1,0,0
2023-08-31 21:00:00,113,22,7,711,0,17.8,7.5,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-31 02:00:00,11,3,6,129,0,17.8,7.5,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-31 03:00:00,3,4,6,55,0,17.8,7.5,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-31 22:00:00,79,23,3,403,0,17.8,7.5,0.0,0,0,0,0,1,0,0,1,0,0
