ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-29 08:00:00,960,9,20,51,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-04 13:00:00,2189,14,20,30,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-26 17:00:00,1453,18,20,29,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-31 10:00:00,1615,11,20,25,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-29 16:00:00,1603,17,20,22,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-28 13:00:00,1723,14,20,9,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-24 15:00:00,1627,16,20,8,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-05 19:00:00,861,20,19,76,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-15 18:00:00,1249,19,19,54,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-14 17:00:00,1175,18,21,31,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-14 15:00:00,2143,16,21,27,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-26 11:00:00,2659,12,21,15,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-27 18:00:00,946,19,18,66,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-03 18:00:00,1083,19,18,56,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-29 19:00:00,411,20,18,49,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-15 17:00:00,2085,18,18,42,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-27 17:00:00,1515,18,18,41,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-03 09:00:00,1147,10,18,35,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-15 15:00:00,3334,16,18,32,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-07 12:00:00,2067,13,18,29,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-14 10:00:00,1091,11,18,28,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-24 17:00:00,1529,18,18,28,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-26 10:00:00,2314,11,18,22,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-13 13:00:00,2300,14,18,18,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-05 10:00:00,1571,11,18,10,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-13 15:00:00,2364,16,18,7,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-05 12:00:00,2129,13,18,2,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-30 15:00:00,1790,16,21,13,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-23 14:00:00,2359,15,21,12,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-02 11:00:00,1981,12,21,8,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-06 14:00:00,2326,15,21,4,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-24 20:00:00,769,21,14,57,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-14 19:00:00,454,20,14,39,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-10 20:00:00,479,21,14,38,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-29 18:00:00,596,19,14,36,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-29 13:00:00,2832,14,14,33,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-13 09:00:00,1130,10,14,27,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-27 19:00:00,542,20,17,97,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-24 08:00:00,886,9,17,49,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-05 16:00:00,2322,17,17,30,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-11 21:00:00,277,22,17,27,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-28 12:00:00,2335,13,17,19,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-24 16:00:00,1655,17,14,27,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-09 16:00:00,1618,17,14,17,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-25 11:00:00,1783,12,14,16,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-04 10:00:00,1682,11,14,14,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-13 16:00:00,1603,17,14,11,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-07 15:00:00,1907,16,14,11,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-16 14:00:00,1686,15,14,9,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-02 14:00:00,1962,15,14,8,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-08 13:00:00,1723,14,14,7,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-02 13:00:00,2422,14,14,7,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-05 15:00:00,2608,16,14,6,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-09 07:00:00,177,8,14,6,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-23 19:00:00,361,20,14,4,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-28 09:00:00,354,10,14,3,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-29 10:00:00,2164,11,15,59,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-24 09:00:00,1070,10,15,48,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-14 09:00:00,448,10,15,32,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-09 17:00:00,1048,18,15,8,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-01 15:00:00,2274,16,15,5,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-15 07:00:00,301,8,16,58,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-15 10:00:00,2572,11,16,53,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-24 11:00:00,2981,12,16,41,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-15 16:00:00,2462,17,16,39,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-29 15:00:00,2211,16,16,35,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-10 19:00:00,630,20,16,33,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-12 15:00:00,2092,16,16,29,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-01 11:00:00,2205,12,16,21,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-05 09:00:00,988,10,16,14,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-26 15:00:00,2297,16,16,13,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-06 15:00:00,2463,16,16,7,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-24 14:00:00,1876,15,16,7,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-11 12:00:00,2089,13,16,3,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-10 13:00:00,2082,14,16,2,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-27 20:00:00,465,21,13,75,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-29 09:00:00,1412,10,13,43,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-11 08:00:00,462,9,13,43,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-29 11:00:00,2442,12,13,36,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-11 19:00:00,497,20,13,20,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-11 09:00:00,852,10,13,19,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-25 12:00:00,2190,13,13,12,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-02 17:00:00,1224,18,13,12,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-01 12:00:00,1614,13,13,9,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-08 08:00:00,814,9,13,9,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-04 14:00:00,2081,15,13,6,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-06 18:00:00,399,19,13,5,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-07 21:00:00,130,22,13,4,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-30 18:00:00,546,19,13,3,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-10 11:00:00,2368,12,17,16,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-02 15:00:00,2031,16,17,13,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-01 10:00:00,1565,11,17,12,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-11 15:00:00,1853,16,17,12,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-09 11:00:00,1664,12,17,12,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-01 16:00:00,1840,17,17,8,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-13 17:00:00,850,18,17,7,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-10 12:00:00,2704,13,17,7,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-31 15:00:00,2189,16,17,7,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-26 08:00:00,537,9,17,6,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-01 14:00:00,2470,15,17,6,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-05 14:00:00,2309,15,17,4,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-25 15:00:00,2192,16,12,31,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-07 13:00:00,1990,14,12,26,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-25 10:00:00,1213,11,12,14,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-04 09:00:00,1012,10,12,10,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-09 12:00:00,2063,13,12,9,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-02 09:00:00,1107,10,12,9,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-24 13:00:00,2503,14,12,9,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-31 08:00:00,549,9,12,9,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-04 08:00:00,522,9,12,7,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-31 18:00:00,465,19,12,6,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-08 18:00:00,422,19,12,3,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-06 09:00:00,1438,10,10,9,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-12 17:00:00,919,18,10,8,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-04 07:00:00,185,8,10,8,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-16 07:00:00,169,8,10,6,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-08 19:00:00,284,20,10,5,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-06 13:00:00,3176,14,10,5,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-24 19:00:00,1119,20,9,74,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-27 21:00:00,472,22,9,73,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-12 19:00:00,686,20,9,64,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-10 18:00:00,961,19,9,64,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-05 21:00:00,415,22,10,84,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-26 18:00:00,868,19,10,80,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-15 09:00:00,1420,10,10,62,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-26 20:00:00,432,21,10,57,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-24 18:00:00,1159,19,10,37,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-26 22:00:00,261,23,10,33,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-27 13:00:00,3363,14,10,20,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-10 08:00:00,667,9,10,19,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-10 09:00:00,914,10,10,17,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-25 18:00:00,544,19,10,15,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-04 12:00:00,2130,13,10,13,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-04 17:00:00,1380,18,10,12,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-03 15:00:00,2325,16,10,12,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-01 08:00:00,532,9,10,10,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-30 08:00:00,514,9,10,10,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-13 20:00:00,646,21,12,75,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-28 18:00:00,646,19,12,53,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-28 19:00:00,872,20,12,42,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-03 19:00:00,536,20,12,42,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-10 10:00:00,1478,11,12,34,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-05 18:00:00,1061,19,11,83,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-15 08:00:00,739,9,11,62,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-24 07:00:00,265,8,11,48,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-15 19:00:00,814,20,11,41,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-15 13:00:00,3671,14,11,38,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
