ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-03 12:00:00,208,13,18,1048,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-05 10:00:00,198,11,18,1015,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-06 11:00:00,361,12,18,986,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-26 10:00:00,683,11,18,966,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-10 10:00:00,194,11,18,944,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-03 09:00:00,243,10,18,917,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-09 12:00:00,966,13,18,839,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-01 18:00:00,609,19,18,816,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-15 07:00:00,131,8,18,769,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-07 10:00:00,236,11,18,696,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-14 15:00:00,502,16,18,692,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-25 20:00:00,184,21,18,638,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-31 07:00:00,237,8,18,637,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-24 13:00:00,392,14,22,1206,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-11 16:00:00,217,17,22,1102,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-02 09:00:00,341,10,22,1090,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-13 10:00:00,129,11,22,1000,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-03 13:00:00,191,14,22,910,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-29 08:00:00,299,9,22,897,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-01 13:00:00,231,14,22,884,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-27 20:00:00,159,21,22,739,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-11 17:00:00,217,18,22,720,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-03 19:00:00,116,20,22,692,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-06 19:00:00,255,20,22,684,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-03 21:00:00,160,22,22,507,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-15 21:00:00,239,22,22,395,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-28 12:00:00,298,13,19,1097,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-10 17:00:00,146,18,19,1064,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-26 09:00:00,693,10,19,902,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-11 10:00:00,275,11,19,902,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-02 19:00:00,257,20,19,894,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-16 10:00:00,156,11,19,798,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-16 07:00:00,103,8,19,610,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-29 21:00:00,105,22,19,453,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-10 07:00:00,115,8,18,633,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-12 09:00:00,466,10,21,1165,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-24 08:00:00,289,9,21,1106,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-12 12:00:00,337,13,21,1008,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-27 11:00:00,551,12,21,1007,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-31 10:00:00,679,11,21,1006,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-28 14:00:00,427,15,21,990,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-13 15:00:00,220,16,21,932,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-09 10:00:00,763,11,21,871,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-14 13:00:00,516,14,21,828,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-16 09:00:00,292,10,21,826,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-06 15:00:00,512,16,21,797,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
