Day,Date,Hour,Source,F__of_Bicycles,F__of_People,F__of_Road_Vehicles,FID
Mon,2024/03/04 00:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,28,472,997,118
Sun,2024/03/10 00:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,28,109,872,119
Fri,2024/03/22 00:00:00+00,9:00 AM-10:00 AM,Camera 332 Waterfront,28,135,807,120
Wed,2024/03/06 00:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,49,214,1088,121
Sun,2024/03/10 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,28,1,694,122
Sun,2024/03/31 00:00:00+00,10:00 AM-11:00 AM,Camera 332 Waterfront,28,253,669,123
Fri,2024/03/08 00:00:00+00,3:00 PM-4:00 PM,Camera 310 - Seagate,28,1173,546,124
Sun,2024/03/03 00:00:00+00,9:00 AM-10:00 AM,Camera 332 Waterfront,28,168,522,125
Mon,2024/03/04 00:00:00+00,8:00 AM-9:00 AM,Camera 317 Reform St,28,713,287,126
Fri,2024/03/15 00:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,28,1789,266,127
Wed,2024/03/13 00:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,28,1753,250,128
Mon,2024/03/11 00:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,28,1843,238,129
Sun,2024/03/31 00:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,28,1740,175,130
Tue,2024/03/05 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,28,3053,172,131
Thu,2024/03/21 00:00:00+00,4:00 PM-5:00 PM,Camera 317 Reform St,28,2249,144,132
Sun,2024/03/31 00:00:00+00,9:00 PM-10:00 PM,Camera 317 Reform St,28,803,77,133
Sat,2024/03/02 00:00:00+00,10:00 AM-11:00 AM,Camera  308 Murraygate,28,1905,18,134
Thu,2024/03/07 00:00:00+00,9:00 AM-10:00 AM,Camera 332 Waterfront,28,83,17,135
Sun,2024/03/31 00:00:00+00,11:00 AM-12:00 PM,Camera  308 Murraygate,28,991,4,136
Tue,2024/03/26 00:00:00+00,12:00 PM-1:00 PM,Camera 332 Waterfront,28,125,0,137
Thu,2024/03/28 00:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,27,839,2568,138
Sat,2024/03/30 00:00:00+00,11:00 AM-12:00 PM,Camera 328 South Marketgait,27,1601,2231,139
Tue,2024/03/12 00:00:00+00,1:00 PM-2:00 PM,Camera 320 Westport,27,857,1892,140
Sat,2024/03/30 00:00:00+00,3:00 PM-4:00 PM,Camera 328 South Marketgait,27,1202,1871,141
Mon,2024/03/18 00:00:00+00,1:00 PM-2:00 PM,Camera 328 South Marketgait,27,1009,1817,142
Mon,2024/03/11 00:00:00+00,12:00 PM-1:00 PM,Camera 320 Westport,27,1167,1794,143
Thu,2024/03/14 00:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,27,312,1518,144
Sat,2024/03/23 00:00:00+00,6:00 PM-7:00 PM,Camera 328 South Marketgait,27,1069,1506,145
Mon,2024/03/04 00:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,27,221,1237,146
Fri,2024/03/15 00:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,27,154,1159,147
Mon,2024/03/04 00:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,27,401,1121,148
Mon,2024/03/04 00:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,27,468,974,149
Mon,2024/03/18 00:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,27,556,961,150
Fri,2024/03/29 00:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,27,2229,309,151
Sat,2024/03/02 00:00:00+00,11:00 AM-12:00 PM,Camera 332 Waterfront,49,269,797,152
Sat,2024/03/30 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,49,3567,220,153
Fri,2024/03/22 00:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,49,1153,83,154
Sat,2024/03/02 00:00:00+00,12:00 PM-1:00 PM,Camera 332 Waterfront,48,266,941,155
Sun,2024/03/31 00:00:00+00,1:00 PM-2:00 PM,Camera 317 Reform St,48,1848,129,156
Fri,2024/03/29 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,47,383,1885,157
