Day,Date,Hour,Source,Number_of_Bicycles_,Number_of_People,Number_of_Road_Vehicles,FID
Sat,2023/11/25 00:00:00+00,9:00 AM-10:00 AM,Camera 320 Westport,4,296,1149,4697
Fri,2023/11/24 00:00:00+00,6:00 AM-7:00 AM,Camera 317 Reform St,0,110,16,4698
Sun,2023/11/26 00:00:00+00,2:00 PM-3:00 PM,Camera 320 Westport,9,599,1033,4699
Sat,2023/11/25 00:00:00+00,2:00 PM-3:00 PM,Camera 310 - Seagate,4,1072,566,4700
Fri,2023/11/24 00:00:00+00,1:00 AM-2:00 AM,Camera 317 Reform St,0,196,15,4701
Sun,2023/11/26 00:00:00+00,6:00 PM-7:00 PM,Camera 320 Westport,9,469,988,4702
Sat,2023/11/25 00:00:00+00,12:00 AM-1:00 AM,Camera 320 Westport,4,429,414,4703
Fri,2023/11/24 00:00:00+00,5:00 AM-6:00 AM,Camera 317 Reform St,0,128,12,4704
Sun,2023/11/26 00:00:00+00,12:00 AM-1:00 AM,Camera 323 Union Street,9,594,173,4705
Sat,2023/11/25 00:00:00+00,1:00 AM-2:00 AM,Camera 320 Westport,4,266,313,4706
Fri,2023/11/24 00:00:00+00,2:00 AM-3:00 AM,Camera 317 Reform St,0,142,7,4707
Sun,2023/11/26 00:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,9,1763,135,4708
Sat,2023/11/25 00:00:00+00,8:00 AM-9:00 AM,Camera 310 - Seagate,4,462,224,4709
Fri,2023/11/24 00:00:00+00,10:00 PM-11:00 PM,Camera 332 Waterfront,0,44,6,4710
Sun,2023/11/26 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,9,1931,130,4711
Sat,2023/11/25 00:00:00+00,9:00 AM-10:00 AM,Camera 323 Union Street,4,518,166,4712
Fri,2023/11/24 00:00:00+00,2:00 AM-3:00 AM,Camera  308 Murraygate,0,19,6,4713
Fri,2023/11/24 00:00:00+00,3:00 AM-4:00 AM,Camera 317 Reform St,0,101,5,4714
Fri,2023/11/24 00:00:00+00,5:00 AM-6:00 AM,Camera 332 Waterfront,0,4,4,4715
Fri,2023/11/24 00:00:00+00,4:00 AM-5:00 AM,Camera 332 Waterfront,0,0,4,4716
Fri,2023/11/24 00:00:00+00,6:00 AM-7:00 AM,Camera  308 Murraygate,0,77,3,4717
Fri,2023/11/24 00:00:00+00,3:00 AM-4:00 AM,Camera  308 Murraygate,0,2,3,4718
Fri,2023/11/24 00:00:00+00,4:00 AM-5:00 AM,Camera  308 Murraygate,0,9,2,4719
Sat,2023/11/25 00:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,72,799,1148,4720
Sat,2023/11/25 00:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,62,291,956,4721
Sat,2023/11/25 00:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,55,648,1182,4722
Sat,2023/11/25 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,39,371,967,4723
Sat,2023/11/25 00:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,38,613,1061,4724
Sat,2023/11/25 00:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,38,3622,19,4725
Sat,2023/11/25 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,37,241,1052,4726
Sat,2023/11/25 00:00:00+00,7:00 PM-8:00 PM,Camera 500 Hilltown,26,93,835,4727
Sat,2023/11/25 00:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,26,138,707,4728
Sat,2023/11/25 00:00:00+00,4:00 PM-5:00 PM,Camera 323 Union Street,25,1070,172,4729
Sat,2023/11/25 00:00:00+00,2:00 PM-3:00 PM,Camera 328 South Marketgait,24,1605,2056,4730
Sat,2023/11/25 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,24,1057,1362,4731
Sat,2023/11/25 00:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,24,3842,149,4732
Sat,2023/11/25 00:00:00+00,10:00 AM-11:00 AM,Camera  308 Murraygate,24,2496,10,4733
Sat,2023/11/25 00:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,23,62,506,4734
Sat,2023/11/25 00:00:00+00,12:00 PM-1:00 PM,Camera 332 Waterfront,22,192,120,4735
Sat,2023/11/25 00:00:00+00,3:00 PM-4:00 PM,Camera 328 South Marketgait,20,1898,1896,4736
Sat,2023/11/25 00:00:00+00,10:00 AM-11:00 AM,Camera 332 Waterfront,20,151,624,4737
Sat,2023/11/25 00:00:00+00,3:00 PM-4:00 PM,Camera 332 Waterfront,20,264,258,4738
Sat,2023/11/25 00:00:00+00,5:00 PM-6:00 PM,Camera 323 Union Street,20,1200,186,4739
Sat,2023/11/25 00:00:00+00,12:00 PM-1:00 PM,Camera 328 South Marketgait,18,2415,1414,4740
Sat,2023/11/25 00:00:00+00,12:00 PM-1:00 PM,Camera 323 Union Street,18,1840,285,4741
Sat,2023/11/25 00:00:00+00,8:00 AM-9:00 AM,Camera 323 Union Street,4,357,144,4742
Sun,2023/11/26 00:00:00+00,5:00 PM-6:00 PM,Camera 320 Westport,8,448,1076,4743
Sat,2023/11/25 00:00:00+00,9:00 AM-10:00 AM,Camera 317 Reform St,4,959,123,4744
Sat,2023/11/25 00:00:00+00,6:00 PM-7:00 PM,Camera 317 Reform St,4,3083,8,4745
Sun,2023/11/26 00:00:00+00,12:00 PM-1:00 PM,Camera 320 Westport,8,517,1042,4746
Sat,2023/11/25 00:00:00+00,7:00 PM-8:00 PM,Camera 320 Westport,3,565,834,4747
Sun,2023/11/26 00:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,8,278,729,4748
Sat,2023/11/25 00:00:00+00,11:00 AM-12:00 PM,Camera 310 - Seagate,3,1742,540,4749
Sun,2023/11/26 00:00:00+00,1:00 PM-2:00 PM,Camera 317 Reform St,8,2136,238,4750
Sat,2023/11/25 00:00:00+00,3:00 PM-4:00 PM,Camera 310 - Seagate,3,887,448,4751
Sun,2023/11/26 00:00:00+00,8:00 AM-9:00 AM,Camera 332 Waterfront,8,77,140,4752
Sat,2023/11/25 00:00:00+00,7:00 AM-8:00 AM,Camera 500 Hilltown,3,42,296,4753
Sun,2023/11/26 00:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,8,1160,7,4754
Sat,2023/11/25 00:00:00+00,5:00 AM-6:00 AM,Camera 320 Westport,3,52,153,4755
Sun,2023/11/26 00:00:00+00,9:00 AM-10:00 AM,Camera 328 South Marketgait,7,276,1098,4756
Sat,2023/11/25 00:00:00+00,5:00 AM-6:00 AM,Camera 500 Hilltown,3,19,114,4757
Sun,2023/11/26 00:00:00+00,8:00 PM-9:00 PM,Camera 320 Westport,7,383,778,4758
Sat,2023/11/25 00:00:00+00,2:00 AM-3:00 AM,Camera 323 Union Street,3,118,88,4759
