Day,Date,Hour,Source,Number_of_Bicycles_,Number_of_People,Number_of_Road_Vehicles,FID
Mon,2023/11/06 00:00:00+00,7:00 AM-8:00 AM,Camera 317 Reform St,11,330,81,1162
Mon,2023/11/06 00:00:00+00,3:00 PM-4:00 PM,Camera  308 Murraygate,11,2262,9,1163
Mon,2023/11/06 00:00:00+00,8:00 AM-9:00 AM,Camera 320 Westport,10,497,1600,1164
Mon,2023/11/06 00:00:00+00,9:00 AM-10:00 AM,Camera 320 Westport,10,568,1386,1165
Mon,2023/11/06 00:00:00+00,6:00 PM-7:00 PM,Camera 320 Westport,10,370,1330,1166
Mon,2023/11/06 00:00:00+00,6:00 PM-7:00 PM,Camera 323 Union Street,10,720,132,1167
Mon,2023/11/06 00:00:00+00,3:00 PM-4:00 PM,Camera 320 Westport,9,538,2069,1168
Mon,2023/11/06 00:00:00+00,3:00 PM-4:00 PM,Camera 328 South Marketgait,9,869,1903,1169
Mon,2023/11/06 00:00:00+00,2:00 PM-3:00 PM,Camera 320 Westport,9,504,1822,1170
Sun,2023/11/05 00:00:00+00,5:00 AM-6:00 AM,Camera 310 - Seagate,0,15,29,1171
Mon,2023/11/06 00:00:00+00,10:00 PM-11:00 PM,Camera 323 Union Street,0,215,76,1172
Sun,2023/11/05 00:00:00+00,6:00 AM-7:00 AM,Camera 317 Reform St,0,59,13,1173
Mon,2023/11/06 00:00:00+00,8:00 PM-9:00 PM,Camera 310 - Seagate,0,109,74,1174
Sun,2023/11/05 00:00:00+00,5:00 AM-6:00 AM,Camera 332 Waterfront,0,1,11,1175
Mon,2023/11/06 00:00:00+00,1:00 AM-2:00 AM,Camera 328 South Marketgait,0,44,70,1176
Sun,2023/11/05 00:00:00+00,1:00 AM-2:00 AM,Camera 317 Reform St,0,562,5,1177
Mon,2023/11/06 00:00:00+00,11:00 PM-12:00 AM,Camera 310 - Seagate,0,55,68,1178
Sun,2023/11/05 00:00:00+00,2:00 AM-3:00 AM,Camera 317 Reform St,0,550,5,1179
Mon,2023/11/06 00:00:00+00,3:00 AM-4:00 AM,Camera 320 Westport,0,18,66,1180
Sun,2023/11/05 00:00:00+00,11:00 PM-12:00 AM,Camera  308 Murraygate,0,35,4,1181
Mon,2023/11/06 00:00:00+00,9:00 PM-10:00 PM,Camera 310 - Seagate,0,81,65,1182
Sun,2023/11/05 00:00:00+00,6:00 AM-7:00 AM,Camera 500 Hilltown,0,1,4,1183
Mon,2023/11/06 00:00:00+00,4:00 AM-5:00 AM,Camera 320 Westport,0,49,62,1184
Sun,2023/11/05 00:00:00+00,1:00 AM-2:00 AM,Camera  308 Murraygate,0,80,3,1185
Mon,2023/11/06 00:00:00+00,12:00 AM-1:00 AM,Camera 310 - Seagate,0,131,60,1186
Sun,2023/11/05 00:00:00+00,7:00 AM-8:00 AM,Camera 500 Hilltown,0,13,3,1187
Mon,2023/11/06 00:00:00+00,1:00 AM-2:00 AM,Camera 323 Union Street,0,96,60,1188
Sun,2023/11/05 00:00:00+00,12:00 AM-1:00 AM,Camera  308 Murraygate,0,126,2,1189
Mon,2023/11/06 00:00:00+00,1:00 AM-2:00 AM,Camera 310 - Seagate,0,138,54,1190
Sun,2023/11/05 00:00:00+00,6:00 AM-7:00 AM,Camera  308 Murraygate,0,41,2,1191
Mon,2023/11/06 00:00:00+00,5:00 AM-6:00 AM,Camera 310 - Seagate,0,43,51,1192
Sun,2023/11/05 00:00:00+00,2:00 AM-3:00 AM,Camera  308 Murraygate,0,43,1,1193
Sun,2023/11/05 00:00:00+00,3:00 AM-4:00 AM,Camera  308 Murraygate,0,117,0,1194
Sun,2023/11/05 00:00:00+00,10:00 PM-11:00 PM,Camera  308 Murraygate,0,77,0,1195
Sun,2023/11/05 00:00:00+00,5:00 AM-6:00 AM,Camera  308 Murraygate,0,17,0,1196
Mon,2023/11/06 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,58,245,1670,1197
Mon,2023/11/06 00:00:00+00,3:00 AM-4:00 AM,Camera 328 South Marketgait,0,8,49,1198
Mon,2023/11/06 00:00:00+00,2:00 AM-3:00 AM,Camera 310 - Seagate,0,235,39,1199
Mon,2023/11/06 00:00:00+00,3:00 AM-4:00 AM,Camera 310 - Seagate,0,19,22,1200
Tue,2023/11/07 00:00:00+00,1:00 AM-2:00 AM,Camera 320 Westport,0,79,127,1201
Tue,2023/11/07 00:00:00+00,12:00 AM-1:00 AM,Camera 328 South Marketgait,0,57,123,1202
Tue,2023/11/07 00:00:00+00,10:00 PM-11:00 PM,Camera 310 - Seagate,0,139,89,1203
Tue,2023/11/07 00:00:00+00,4:00 AM-5:00 AM,Camera 328 South Marketgait,0,7,81,1204
Tue,2023/11/07 00:00:00+00,1:00 AM-2:00 AM,Camera 328 South Marketgait,0,67,65,1205
Tue,2023/11/07 00:00:00+00,5:00 AM-6:00 AM,Camera 310 - Seagate,0,24,60,1206
Tue,2023/11/07 00:00:00+00,5:00 AM-6:00 AM,Camera 320 Westport,0,61,57,1207
Tue,2023/11/07 00:00:00+00,12:00 AM-1:00 AM,Camera 310 - Seagate,0,74,52,1208
Tue,2023/11/07 00:00:00+00,3:00 AM-4:00 AM,Camera 500 Hilltown,0,10,52,1209
Tue,2023/11/07 00:00:00+00,3:00 AM-4:00 AM,Camera 328 South Marketgait,0,7,49,1210
Tue,2023/11/07 00:00:00+00,2:00 AM-3:00 AM,Camera 328 South Marketgait,0,43,47,1211
Tue,2023/11/07 00:00:00+00,1:00 AM-2:00 AM,Camera 310 - Seagate,0,35,39,1212
Tue,2023/11/07 00:00:00+00,2:00 AM-3:00 AM,Camera 310 - Seagate,0,58,35,1213
Tue,2023/11/07 00:00:00+00,4:00 AM-5:00 AM,Camera 320 Westport,0,113,32,1214
Wed,2023/11/08 00:00:00+00,5:00 PM-6:00 PM,Camera 310 - Seagate,1,432,509,1215
Tue,2023/11/07 00:00:00+00,11:00 PM-12:00 AM,Camera 310 - Seagate,0,52,30,1216
Tue,2023/11/07 00:00:00+00,3:00 AM-4:00 AM,Camera 320 Westport,0,111,24,1217
Tue,2023/11/07 00:00:00+00,3:00 AM-4:00 AM,Camera 310 - Seagate,0,27,18,1218
Wed,2023/11/08 00:00:00+00,6:00 AM-7:00 AM,Camera 328 South Marketgait,1,138,331,1219
Wed,2023/11/08 00:00:00+00,4:00 PM-5:00 PM,Camera 328 South Marketgait,8,1159,2392,1220
Tue,2023/11/07 00:00:00+00,4:00 AM-5:00 AM,Camera 310 - Seagate,0,12,16,1221
Wed,2023/11/08 00:00:00+00,8:00 PM-9:00 PM,Camera 323 Union Street,1,314,141,1222
Tue,2023/11/07 00:00:00+00,12:00 AM-1:00 AM,Camera 317 Reform St,0,259,11,1223
Wed,2023/11/08 00:00:00+00,11:00 PM-12:00 AM,Camera 323 Union Street,1,190,116,1224
Wed,2023/11/08 00:00:00+00,8:00 AM-9:00 AM,Camera 320 Westport,8,814,2227,1225
Tue,2023/11/07 00:00:00+00,2:00 AM-3:00 AM,Camera 317 Reform St,0,72,8,1226
Wed,2023/11/08 00:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,24,797,2770,1227
Wed,2023/11/08 00:00:00+00,2:00 AM-3:00 AM,Camera 320 Westport,1,152,109,1228
Wed,2023/11/08 00:00:00+00,4:00 PM-5:00 PM,Camera 310 - Seagate,8,612,439,1229
Tue,2023/11/07 00:00:00+00,8:00 PM-9:00 PM,Camera  308 Murraygate,0,362,6,1230
Thu,2023/11/09 00:00:00+00,8:00 AM-9:00 AM,Camera  308 Murraygate,10,714,12,1231
Tue,2023/11/07 00:00:00+00,7:00 PM-8:00 PM,Camera 320 Westport,4,631,1266,1232
Wed,2023/11/08 00:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,24,572,1333,1233
Wed,2023/11/08 00:00:00+00,12:00 AM-1:00 AM,Camera  308 Murraygate,0,10,0,1234
Wed,2023/11/08 00:00:00+00,12:00 AM-1:00 AM,Camera 500 Hilltown,1,5,99,1235
Wed,2023/11/08 00:00:00+00,6:00 AM-7:00 AM,Camera 500 Hilltown,8,45,259,1236
Tue,2023/11/07 00:00:00+00,5:00 AM-6:00 AM,Camera  308 Murraygate,0,49,6,1237
Thu,2023/11/09 00:00:00+00,11:00 AM-12:00 PM,Camera 320 Westport,9,624,1707,1238
Tue,2023/11/07 00:00:00+00,7:00 PM-8:00 PM,Camera 328 South Marketgait,4,546,1232,1239
Wed,2023/11/08 00:00:00+00,2:00 PM-3:00 PM,Camera 320 Westport,20,1072,1930,1240
Wed,2023/11/08 00:00:00+00,2:00 AM-3:00 AM,Camera  308 Murraygate,0,6,0,1241
Wed,2023/11/08 00:00:00+00,1:00 AM-2:00 AM,Camera 320 Westport,1,42,71,1242
Wed,2023/11/08 00:00:00+00,1:00 PM-2:00 PM,Camera 323 Union Street,8,850,253,1243
Tue,2023/11/07 00:00:00+00,10:00 PM-11:00 PM,Camera  308 Murraygate,0,213,5,1244
Thu,2023/11/09 00:00:00+00,9:00 AM-10:00 AM,Camera  308 Murraygate,9,1180,22,1245
Tue,2023/11/07 00:00:00+00,9:00 PM-10:00 PM,Camera 328 South Marketgait,4,311,641,1246
Wed,2023/11/08 00:00:00+00,5:00 PM-6:00 PM,Camera 328 South Marketgait,19,1422,2299,1247
Wed,2023/11/08 00:00:00+00,4:00 AM-5:00 AM,Camera  308 Murraygate,0,6,0,1248
Wed,2023/11/08 00:00:00+00,3:00 AM-4:00 AM,Camera 320 Westport,1,42,70,1249
Wed,2023/11/08 00:00:00+00,11:00 AM-12:00 PM,Camera 310 - Seagate,8,355,200,1250
Tue,2023/11/07 00:00:00+00,9:00 PM-10:00 PM,Camera  308 Murraygate,0,292,3,1251
Thu,2023/11/09 00:00:00+00,9:00 PM-10:00 PM,Camera 328 South Marketgait,8,273,669,1252
Tue,2023/11/07 00:00:00+00,6:00 AM-7:00 AM,Camera 328 South Marketgait,4,186,557,1253
Wed,2023/11/08 00:00:00+00,1:00 PM-2:00 PM,Camera 317 Reform St,19,3272,120,1254
Thu,2023/11/09 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,69,629,1413,1255
Wed,2023/11/08 00:00:00+00,9:00 PM-10:00 PM,Camera 310 - Seagate,1,102,66,1256
Wed,2023/11/08 00:00:00+00,8:00 PM-9:00 PM,Camera 317 Reform St,8,950,51,1257
Wed,2023/11/08 00:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,8,809,16,1258
Wed,2023/11/08 00:00:00+00,8:00 AM-9:00 AM,Camera  308 Murraygate,8,572,13,1259
Wed,2023/11/08 00:00:00+00,9:00 AM-10:00 AM,Camera 317 Reform St,7,1105,178,1260
Wed,2023/11/08 00:00:00+00,8:00 AM-9:00 AM,Camera 323 Union Street,7,391,171,1261
Wed,2023/11/08 00:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,7,578,7,1262
Wed,2023/11/08 00:00:00+00,7:00 AM-8:00 AM,Camera 500 Hilltown,6,170,716,1263
Wed,2023/11/08 00:00:00+00,1:00 PM-2:00 PM,Camera 310 - Seagate,6,494,543,1264
Wed,2023/11/08 00:00:00+00,4:00 PM-5:00 PM,Camera 323 Union Street,6,892,252,1265
Wed,2023/11/08 00:00:00+00,9:00 PM-10:00 PM,Camera 323 Union Street,6,228,174,1266
Wed,2023/11/08 00:00:00+00,8:00 PM-9:00 PM,Camera  308 Murraygate,6,393,5,1267
Wed,2023/11/08 00:00:00+00,8:00 PM-9:00 PM,Camera 328 South Marketgait,5,410,996,1268
Wed,2023/11/08 00:00:00+00,10:00 PM-11:00 PM,Camera 500 Hilltown,5,32,416,1269
Wed,2023/11/08 00:00:00+00,11:00 PM-12:00 AM,Camera 500 Hilltown,5,34,266,1270
Wed,2023/11/08 00:00:00+00,2:00 PM-3:00 PM,Camera 323 Union Street,5,744,260,1271
Wed,2023/11/08 00:00:00+00,7:00 PM-8:00 PM,Camera 323 Union Street,5,374,201,1272
Wed,2023/11/08 00:00:00+00,10:00 AM-11:00 AM,Camera 310 - Seagate,5,309,180,1273
Wed,2023/11/08 00:00:00+00,8:00 AM-9:00 AM,Camera 310 - Seagate,5,269,123,1274
Wed,2023/11/08 00:00:00+00,7:00 PM-8:00 PM,Camera 317 Reform St,5,1371,71,1275
Wed,2023/11/08 00:00:00+00,12:00 AM-1:00 AM,Camera 317 Reform St,5,274,48,1276
Wed,2023/11/08 00:00:00+00,8:00 PM-9:00 PM,Camera 320 Westport,4,621,991,1277
Wed,2023/11/08 00:00:00+00,10:00 PM-11:00 PM,Camera 328 South Marketgait,4,305,644,1278
Wed,2023/11/08 00:00:00+00,6:00 AM-7:00 AM,Camera 320 Westport,4,56,305,1279
Wed,2023/11/08 00:00:00+00,6:00 PM-7:00 PM,Camera 317 Reform St,4,1063,15,1280
Wed,2023/11/08 00:00:00+00,4:00 PM-5:00 PM,Camera  308 Murraygate,4,1953,10,1281
Wed,2023/11/08 00:00:00+00,7:00 PM-8:00 PM,Camera  308 Murraygate,4,395,5,1282
Wed,2023/11/08 00:00:00+00,2:00 PM-3:00 PM,Camera 310 - Seagate,3,563,579,1283
Wed,2023/11/08 00:00:00+00,5:00 AM-6:00 AM,Camera 328 South Marketgait,3,58,128,1284
Wed,2023/11/08 00:00:00+00,12:00 AM-1:00 AM,Camera 320 Westport,3,98,127,1285
Wed,2023/11/08 00:00:00+00,7:00 AM-8:00 AM,Camera 310 - Seagate,3,158,95,1286
Wed,2023/11/08 00:00:00+00,7:00 AM-8:00 AM,Camera 317 Reform St,3,302,33,1287
Wed,2023/11/08 00:00:00+00,11:00 PM-12:00 AM,Camera 328 South Marketgait,2,142,243,1288
Wed,2023/11/08 00:00:00+00,8:00 PM-9:00 PM,Camera 310 - Seagate,2,212,178,1289
Wed,2023/11/08 00:00:00+00,5:00 AM-6:00 AM,Camera 500 Hilltown,2,46,159,1290
Wed,2023/11/08 00:00:00+00,9:00 AM-10:00 AM,Camera 310 - Seagate,2,300,154,1291
Wed,2023/11/08 00:00:00+00,10:00 PM-11:00 PM,Camera 323 Union Street,2,307,133,1292
Wed,2023/11/08 00:00:00+00,11:00 PM-12:00 AM,Camera 317 Reform St,2,274,124,1293
Wed,2023/11/08 00:00:00+00,7:00 AM-8:00 AM,Camera 323 Union Street,2,144,84,1294
Wed,2023/11/08 00:00:00+00,4:00 AM-5:00 AM,Camera 328 South Marketgait,2,8,69,1295
Wed,2023/11/08 00:00:00+00,10:00 PM-11:00 PM,Camera  308 Murraygate,2,193,8,1296
Wed,2023/11/08 00:00:00+00,5:00 AM-6:00 AM,Camera 317 Reform St,2,87,5,1297
Wed,2023/11/08 00:00:00+00,11:00 PM-12:00 AM,Camera  308 Murraygate,2,73,3,1298
Wed,2023/11/08 00:00:00+00,9:00 PM-10:00 PM,Camera  308 Murraygate,2,269,0,1299
Wed,2023/11/08 00:00:00+00,7:00 AM-8:00 AM,Camera 320 Westport,1,208,939,1300
Tue,2023/11/07 00:00:00+00,11:00 AM-12:00 PM,Camera 310 - Seagate,4,852,536,1301
Tue,2023/11/07 00:00:00+00,11:00 PM-12:00 AM,Camera  308 Murraygate,0,35,3,1302
Wed,2023/11/08 00:00:00+00,2:00 AM-3:00 AM,Camera 328 South Marketgait,1,32,58,1303
Thu,2023/11/09 00:00:00+00,1:00 PM-2:00 PM,Camera 323 Union Street,8,904,29,1304
Tue,2023/11/07 00:00:00+00,10:00 PM-11:00 PM,Camera 500 Hilltown,4,54,404,1305
Tue,2023/11/07 00:00:00+00,4:00 AM-5:00 AM,Camera 323 Union Street,0,10,3,1306
Thu,2023/11/09 00:00:00+00,4:00 PM-5:00 PM,Camera 328 South Marketgait,7,1140,2217,1307
Wed,2023/11/08 00:00:00+00,6:00 AM-7:00 AM,Camera 323 Union Street,1,50,43,1308
Tue,2023/11/07 00:00:00+00,5:00 AM-6:00 AM,Camera 328 South Marketgait,4,45,169,1309
Tue,2023/11/07 00:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,0,940,2,1310
Thu,2023/11/09 00:00:00+00,7:00 AM-8:00 AM,Camera 328 South Marketgait,7,429,1869,1311
Wed,2023/11/08 00:00:00+00,1:00 AM-2:00 AM,Camera 317 Reform St,1,151,39,1312
Tue,2023/11/07 00:00:00+00,7:00 AM-8:00 AM,Camera 323 Union Street,4,146,94,1313
Tue,2023/11/07 00:00:00+00,6:00 AM-7:00 AM,Camera  308 Murraygate,0,67,2,1314
Thu,2023/11/09 00:00:00+00,6:00 AM-7:00 AM,Camera 500 Hilltown,7,38,290,1315
Thu,2023/11/09 00:00:00+00,2:00 AM-3:00 AM,Camera 320 Westport,7,371,210,1316
Thu,2023/11/09 00:00:00+00,3:00 PM-4:00 PM,Camera 310 - Seagate,7,700,118,1317
Thu,2023/11/09 00:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,7,1924,76,1318
Thu,2023/11/09 00:00:00+00,6:00 PM-7:00 PM,Camera 328 South Marketgait,6,771,2063,1319
Thu,2023/11/09 00:00:00+00,10:00 PM-11:00 PM,Camera 323 Union Street,6,466,175,1320
Thu,2023/11/09 00:00:00+00,7:00 AM-8:00 AM,Camera 323 Union Street,6,157,99,1321
Thu,2023/11/09 00:00:00+00,2:00 PM-3:00 PM,Camera 323 Union Street,6,686,17,1322
Thu,2023/11/09 00:00:00+00,5:00 PM-6:00 PM,Camera  308 Murraygate,6,1615,9,1323
Thu,2023/11/09 00:00:00+00,3:00 PM-4:00 PM,Camera 320 Westport,5,621,1698,1324
Thu,2023/11/09 00:00:00+00,7:00 PM-8:00 PM,Camera 328 South Marketgait,5,463,1599,1325
Thu,2023/11/09 00:00:00+00,7:00 PM-8:00 PM,Camera 323 Union Street,5,332,160,1326
Thu,2023/11/09 00:00:00+00,2:00 AM-3:00 AM,Camera 500 Hilltown,5,37,118,1327
Thu,2023/11/09 00:00:00+00,8:00 PM-9:00 PM,Camera 317 Reform St,5,878,64,1328
Thu,2023/11/09 00:00:00+00,9:00 PM-10:00 PM,Camera 317 Reform St,5,787,62,1329
Thu,2023/11/09 00:00:00+00,3:00 PM-4:00 PM,Camera 323 Union Street,5,813,16,1330
Thu,2023/11/09 00:00:00+00,7:00 AM-8:00 AM,Camera  308 Murraygate,5,188,10,1331
Thu,2023/11/09 00:00:00+00,6:00 PM-7:00 PM,Camera 320 Westport,4,563,1285,1332
Thu,2023/11/09 00:00:00+00,10:00 PM-11:00 PM,Camera 328 South Marketgait,4,526,647,1333
Thu,2023/11/09 00:00:00+00,10:00 PM-11:00 PM,Camera 320 Westport,4,318,489,1334
Thu,2023/11/09 00:00:00+00,9:00 PM-10:00 PM,Camera 500 Hilltown,4,65,374,1335
Thu,2023/11/09 00:00:00+00,8:00 AM-9:00 AM,Camera 310 - Seagate,4,689,331,1336
Thu,2023/11/09 00:00:00+00,2:00 PM-3:00 PM,Camera 310 - Seagate,4,743,180,1337
Thu,2023/11/09 00:00:00+00,5:00 AM-6:00 AM,Camera 500 Hilltown,4,26,140,1338
Thu,2023/11/09 00:00:00+00,10:00 PM-11:00 PM,Camera 317 Reform St,4,1245,44,1339
Thu,2023/11/09 00:00:00+00,7:00 PM-8:00 PM,Camera 317 Reform St,4,1300,37,1340
Thu,2023/11/09 00:00:00+00,5:00 AM-6:00 AM,Camera 323 Union Street,4,11,21,1341
Thu,2023/11/09 00:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,4,1578,10,1342
Thu,2023/11/09 00:00:00+00,5:00 AM-6:00 AM,Camera 317 Reform St,4,93,10,1343
Thu,2023/11/09 00:00:00+00,8:00 AM-9:00 AM,Camera 320 Westport,3,602,2084,1344
Thu,2023/11/09 00:00:00+00,9:00 AM-10:00 AM,Camera 320 Westport,3,451,1674,1345
Thu,2023/11/09 00:00:00+00,7:00 PM-8:00 PM,Camera 320 Westport,3,458,1076,1346
Thu,2023/11/09 00:00:00+00,7:00 AM-8:00 AM,Camera 320 Westport,3,273,929,1347
Thu,2023/11/09 00:00:00+00,8:00 PM-9:00 PM,Camera 320 Westport,3,379,775,1348
Thu,2023/11/09 00:00:00+00,1:00 PM-2:00 PM,Camera 310 - Seagate,3,887,360,1349
Thu,2023/11/09 00:00:00+00,6:00 AM-7:00 AM,Camera 320 Westport,3,70,318,1350
Thu,2023/11/09 00:00:00+00,4:00 PM-5:00 PM,Camera 310 - Seagate,3,850,215,1351
Thu,2023/11/09 00:00:00+00,1:00 AM-2:00 AM,Camera 320 Westport,3,171,145,1352
Thu,2023/11/09 00:00:00+00,4:00 AM-5:00 AM,Camera 500 Hilltown,3,11,54,1353
Thu,2023/11/09 00:00:00+00,6:00 AM-7:00 AM,Camera 323 Union Street,3,41,39,1354
Thu,2023/11/09 00:00:00+00,7:00 AM-8:00 AM,Camera 317 Reform St,3,299,32,1355
Thu,2023/11/09 00:00:00+00,4:00 PM-5:00 PM,Camera 323 Union Street,3,831,26,1356
Thu,2023/11/09 00:00:00+00,7:00 PM-8:00 PM,Camera  308 Murraygate,3,350,3,1357
Wed,2023/11/08 00:00:00+00,10:00 AM-11:00 AM,Camera  308 Murraygate,19,1640,27,1358
Thu,2023/11/09 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,69,482,1175,1359
Wed,2023/11/08 00:00:00+00,1:00 AM-2:00 AM,Camera 323 Union Street,1,143,34,1360
Tue,2023/11/07 00:00:00+00,12:00 AM-1:00 AM,Camera  308 Murraygate,0,31,0,1361
Tue,2023/11/07 00:00:00+00,7:00 AM-8:00 AM,Camera 317 Reform St,4,395,67,1362
Wed,2023/11/08 00:00:00+00,9:00 AM-10:00 AM,Camera 320 Westport,18,869,2164,1363
Thu,2023/11/09 00:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,60,615,1267,1364
Wed,2023/11/08 00:00:00+00,5:00 AM-6:00 AM,Camera 310 - Seagate,1,26,20,1365
Tue,2023/11/07 00:00:00+00,3:00 AM-4:00 AM,Camera 317 Reform St,0,25,0,1366
Tue,2023/11/07 00:00:00+00,10:00 PM-11:00 PM,Camera 317 Reform St,4,584,38,1367
Wed,2023/11/08 00:00:00+00,5:00 PM-6:00 PM,Camera 323 Union Street,18,772,263,1368
Thu,2023/11/09 00:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,54,270,941,1369
Wed,2023/11/08 00:00:00+00,2:00 AM-3:00 AM,Camera 317 Reform St,1,184,15,1370
Tue,2023/11/07 00:00:00+00,4:00 AM-5:00 AM,Camera 317 Reform St,0,16,0,1371
Tue,2023/11/07 00:00:00+00,7:00 AM-8:00 AM,Camera  308 Murraygate,4,189,15,1372
Wed,2023/11/08 00:00:00+00,3:00 PM-4:00 PM,Camera 310 - Seagate,18,547,199,1373
Thu,2023/11/09 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,50,688,1524,1374
Wed,2023/11/08 00:00:00+00,7:00 AM-8:00 AM,Camera  308 Murraygate,1,151,7,1375
Thu,2023/11/09 00:00:00+00,10:00 PM-11:00 PM,Camera 500 Hilltown,3,15,0,1376
Tue,2023/11/07 00:00:00+00,2:00 AM-3:00 AM,Camera  308 Murraygate,0,12,0,1377
Tue,2023/11/07 00:00:00+00,5:00 AM-6:00 AM,Camera 323 Union Street,0,7,0,1378
Tue,2023/11/07 00:00:00+00,3:00 AM-4:00 AM,Camera 323 Union Street,0,4,0,1379
Tue,2023/11/07 00:00:00+00,3:00 AM-4:00 AM,Camera  308 Murraygate,0,3,0,1380
Wed,2023/11/08 00:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,61,2461,9,1381
Wed,2023/11/08 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,55,286,1605,1382
Wed,2023/11/08 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,47,223,815,1383
Wed,2023/11/08 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,43,344,1450,1384
Wed,2023/11/08 00:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,41,326,963,1385
Wed,2023/11/08 00:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,37,319,1178,1386
Wed,2023/11/08 00:00:00+00,11:00 AM-12:00 PM,Camera  308 Murraygate,37,2208,9,1387
Wed,2023/11/08 00:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,36,450,1061,1388
Wed,2023/11/08 00:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,34,535,920,1389
Wed,2023/11/08 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,31,371,1396,1390
Wed,2023/11/08 00:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,30,176,1183,1391
Wed,2023/11/08 00:00:00+00,4:00 PM-5:00 PM,Camera 320 Westport,29,962,2475,1392
Wed,2023/11/08 00:00:00+00,3:00 PM-4:00 PM,Camera 320 Westport,28,937,2103,1393
Wed,2023/11/08 00:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,27,2188,245,1394
Wed,2023/11/08 00:00:00+00,7:00 PM-8:00 PM,Camera 500 Hilltown,25,117,882,1395
Thu,2023/11/09 00:00:00+00,12:00 PM-1:00 PM,Camera 320 Westport,2,916,1708,1396
Wed,2023/11/08 00:00:00+00,5:00 PM-6:00 PM,Camera  308 Murraygate,1,1496,2,1397
Thu,2023/11/09 00:00:00+00,4:00 PM-5:00 PM,Camera 320 Westport,2,646,1643,1398
Tue,2023/11/07 00:00:00+00,4:00 PM-5:00 PM,Camera 310 - Seagate,3,830,475,1399
Thu,2023/11/09 00:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,49,265,925,1400
Wed,2023/11/08 00:00:00+00,6:00 AM-7:00 AM,Camera 317 Reform St,1,106,2,1401
Thu,2023/11/09 00:00:00+00,5:00 PM-6:00 PM,Camera 320 Westport,2,553,1502,1402
Wed,2023/11/08 00:00:00+00,9:00 AM-10:00 AM,Camera 328 South Marketgait,17,818,2496,1403
Tue,2023/11/07 00:00:00+00,10:00 PM-11:00 PM,Camera 328 South Marketgait,3,189,458,1404
Thu,2023/11/09 00:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,35,307,1262,1405
Wed,2023/11/08 00:00:00+00,6:00 PM-7:00 PM,Camera 310 - Seagate,0,301,484,1406
Thu,2023/11/09 00:00:00+00,2:00 PM-3:00 PM,Camera 320 Westport,2,650,1397,1407
Wed,2023/11/08 00:00:00+00,11:00 AM-12:00 PM,Camera 320 Westport,17,1046,1784,1408
Tue,2023/11/07 00:00:00+00,10:00 AM-11:00 AM,Camera 310 - Seagate,3,838,435,1409
Thu,2023/11/09 00:00:00+00,10:00 AM-11:00 AM,Camera 323 Union Street,34,485,178,1410
Wed,2023/11/08 00:00:00+00,7:00 PM-8:00 PM,Camera 310 - Seagate,0,298,341,1411
Thu,2023/11/09 00:00:00+00,6:00 AM-7:00 AM,Camera 328 South Marketgait,2,213,535,1412
Wed,2023/11/08 00:00:00+00,10:00 PM-11:00 PM,Camera 320 Westport,17,512,713,1413
Tue,2023/11/07 00:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,3,133,428,1414
Thu,2023/11/09 00:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,32,240,1269,1415
Wed,2023/11/08 00:00:00+00,5:00 AM-6:00 AM,Camera 320 Westport,0,51,142,1416
Thu,2023/11/09 00:00:00+00,12:00 PM-1:00 PM,Camera 310 - Seagate,2,1143,452,1417
Wed,2023/11/08 00:00:00+00,8:00 PM-9:00 PM,Camera 500 Hilltown,17,131,672,1418
Tue,2023/11/07 00:00:00+00,10:00 AM-11:00 AM,Camera 323 Union Street,3,474,183,1419
Thu,2023/11/09 00:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,32,1920,15,1420
