Day,Date,Hour,Source,Number_of_Bicycles,Number_of_People,Number_of_Road_Vehicles_,FID
Mon,2024/01/01 00:00:00+00,1:00 AM-2:00 AM,Camera 310 - Seagate,0,538,78,100
Tue,2024/01/02 00:00:00+00,2:00 PM-3:00 PM,Camera 323 Union Street,21,871,250,101
Mon,2024/01/01 00:00:00+00,7:00 PM-8:00 PM,Camera 310 - Seagate,0,70,72,102
Mon,2024/01/01 00:00:00+00,3:00 PM-4:00 PM,Camera  308 Murraygate,5,466,11,103
Tue,2024/01/02 00:00:00+00,12:00 PM-1:00 PM,Camera 323 Union Street,21,923,196,104
Tue,2024/01/02 00:00:00+00,1:00 PM-2:00 PM,Camera 317 Reform St,18,2599,187,105
Mon,2024/01/01 00:00:00+00,4:00 PM-5:00 PM,Camera  308 Murraygate,5,257,2,106
Tue,2024/01/02 00:00:00+00,4:00 PM-5:00 PM,Camera 323 Union Street,18,601,137,107
Tue,2024/01/02 00:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,18,2004,11,108
Mon,2024/01/01 00:00:00+00,4:00 PM-5:00 PM,Camera 328 South Marketgait,4,294,749,109
Tue,2024/01/02 00:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,17,52,634,110
Mon,2024/01/01 00:00:00+00,1:00 AM-2:00 AM,Camera 320 Westport,4,373,487,111
Tue,2024/01/02 00:00:00+00,11:00 AM-12:00 PM,Camera 332 Waterfront,17,173,97,112
Mon,2024/01/01 00:00:00+00,12:00 AM-1:00 AM,Camera 500 Hilltown,4,53,409,113
Tue,2024/01/02 00:00:00+00,12:00 PM-1:00 PM,Camera 332 Waterfront,17,356,2,114
Mon,2024/01/01 00:00:00+00,4:00 PM-5:00 PM,Camera 332 Waterfront,4,391,361,115
Tue,2024/01/02 00:00:00+00,3:00 PM-4:00 PM,Camera 332 Waterfront,15,504,484,116
Mon,2024/01/01 00:00:00+00,4:00 AM-5:00 AM,Camera 500 Hilltown,4,42,155,117
Tue,2024/01/02 00:00:00+00,7:00 PM-8:00 PM,Camera 323 Union Street,15,409,149,118
