Day,Date,Hour,Source,Number_of_Bicycles,Number_of_People,Number_of_Road_Vehicles,FID
Fri,2023/08/31 23:00:00+00,2:00 AM-3:00 AM,Camera  308 Murraygate,2,27,2,145
Fri,2023/08/31 23:00:00+00,12:00 PM-1:00 PM,Camera 320 Westport,1,233,675,146
Fri,2023/08/31 23:00:00+00,2:00 PM-3:00 PM,Camera 310 - Seagate,1,747,548,147
Fri,2023/08/31 23:00:00+00,3:00 PM-4:00 PM,Camera 310 - Seagate,1,758,461,148
Fri,2023/08/31 23:00:00+00,5:00 AM-6:00 AM,Camera 328 South Marketgait,1,43,264,149
Fri,2023/08/31 23:00:00+00,11:00 PM-12:00 AM,Camera 328 South Marketgait,1,431,261,150
Fri,2023/08/31 23:00:00+00,12:00 AM-1:00 AM,Camera 500 Hilltown,1,43,223,151
Fri,2023/08/31 23:00:00+00,5:00 AM-6:00 AM,Camera 320 Westport,1,94,182,152
Fri,2023/08/31 23:00:00+00,5:00 AM-6:00 AM,Camera 500 Hilltown,1,48,137,153
Fri,2023/08/31 23:00:00+00,1:00 AM-2:00 AM,Camera 500 Hilltown,1,13,117,154
Fri,2023/08/31 23:00:00+00,10:00 PM-11:00 PM,Camera 310 - Seagate,1,199,94,155
Fri,2023/08/31 23:00:00+00,4:00 AM-5:00 AM,Camera 328 South Marketgait,1,7,88,156
Fri,2023/08/31 23:00:00+00,5:00 AM-6:00 AM,Camera 310 - Seagate,1,35,52,157
Fri,2023/08/31 23:00:00+00,3:00 AM-4:00 AM,Camera 500 Hilltown,1,16,48,158
Fri,2023/08/31 23:00:00+00,2:00 AM-3:00 AM,Camera 317 Reform St,1,353,18,159
Fri,2023/08/31 23:00:00+00,9:00 PM-10:00 PM,Camera 323 Union Street,1,467,15,160
Fri,2023/08/31 23:00:00+00,10:00 AM-11:00 AM,Camera 323 Union Street,1,725,5,161
Fri,2023/08/31 23:00:00+00,8:00 PM-9:00 PM,Camera  308 Murraygate,1,272,4,162
Fri,2023/08/31 23:00:00+00,11:00 AM-12:00 PM,Camera 320 Westport,0,237,793,163
Fri,2023/08/31 23:00:00+00,1:00 PM-2:00 PM,Camera 320 Westport,0,255,766,164
Fri,2023/08/31 23:00:00+00,11:00 PM-12:00 AM,Camera 500 Hilltown,0,103,428,165
Fri,2023/08/31 23:00:00+00,7:00 AM-8:00 AM,Camera 310 - Seagate,0,232,182,166
Fri,2023/08/31 23:00:00+00,1:00 AM-2:00 AM,Camera 328 South Marketgait,0,20,113,167
Fri,2023/08/31 23:00:00+00,2:00 AM-3:00 AM,Camera 500 Hilltown,0,18,81,168
Fri,2023/08/31 23:00:00+00,4:00 AM-5:00 AM,Camera 320 Westport,0,65,76,169
Fri,2023/08/31 23:00:00+00,2:00 AM-3:00 AM,Camera 328 South Marketgait,0,36,75,170
Fri,2023/08/31 23:00:00+00,12:00 AM-1:00 AM,Camera 317 Reform St,0,362,62,171
Fri,2023/08/31 23:00:00+00,4:00 AM-5:00 AM,Camera 500 Hilltown,0,7,59,172
Fri,2023/08/31 23:00:00+00,3:00 AM-4:00 AM,Camera 328 South Marketgait,0,14,56,173
Fri,2023/08/31 23:00:00+00,11:00 PM-12:00 AM,Camera 317 Reform St,0,659,53,174
Fri,2023/08/31 23:00:00+00,1:00 AM-2:00 AM,Camera 317 Reform St,0,201,48,175
Fri,2023/08/31 23:00:00+00,3:00 AM-4:00 AM,Camera 331 Railway Station,0,14,42,176
Fri,2023/08/31 23:00:00+00,12:00 AM-1:00 AM,Camera 310 - Seagate,0,145,38,177
Fri,2023/08/31 23:00:00+00,3:00 AM-4:00 AM,Camera 310 - Seagate,0,50,34,178
Fri,2023/08/31 23:00:00+00,1:00 AM-2:00 AM,Camera 310 - Seagate,0,148,24,179
Fri,2023/08/31 23:00:00+00,4:00 AM-5:00 AM,Camera 310 - Seagate,0,0,18,180
Fri,2023/08/31 23:00:00+00,6:00 AM-7:00 AM,Camera  308 Murraygate,0,123,8,181
Fri,2023/08/31 23:00:00+00,2:00 AM-3:00 AM,Camera 323 Union Street,0,111,5,182
Fri,2023/08/31 23:00:00+00,12:00 AM-1:00 AM,Camera 323 Union Street,0,234,4,183
Fri,2023/08/31 23:00:00+00,5:00 AM-6:00 AM,Camera  308 Murraygate,0,39,3,184
Fri,2023/08/31 23:00:00+00,1:00 AM-2:00 AM,Camera 323 Union Street,0,140,2,185
Fri,2023/08/31 23:00:00+00,4:00 AM-5:00 AM,Camera 323 Union Street,0,5,2,186
Fri,2023/08/31 23:00:00+00,12:00 AM-1:00 AM,Camera  308 Murraygate,0,36,1,187
Fri,2023/08/31 23:00:00+00,1:00 AM-2:00 AM,Camera  308 Murraygate,0,35,1,188
Fri,2023/08/31 23:00:00+00,3:00 AM-4:00 AM,Camera 323 Union Street,0,18,1,189
Fri,2023/08/31 23:00:00+00,3:00 AM-4:00 AM,Camera  308 Murraygate,0,9,1,190
Fri,2023/08/31 23:00:00+00,4:00 AM-5:00 AM,Camera  308 Murraygate,0,1,1,191
Fri,2023/08/31 23:00:00+00,5:00 AM-6:00 AM,Camera 323 Union Street,0,29,0,192
Sat,2023/09/01 23:00:00+00,12:00 PM-1:00 PM,Camera 331 Railway Station,193,1196,2495,193
Sat,2023/09/01 23:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,142,2568,217,194
Sat,2023/09/01 23:00:00+00,11:00 AM-12:00 PM,Camera 331 Railway Station,133,990,2414,195
Sat,2023/09/01 23:00:00+00,1:00 PM-2:00 PM,Camera 331 Railway Station,129,1399,2480,196
Sat,2023/09/01 23:00:00+00,2:00 PM-3:00 PM,Camera 331 Railway Station,96,1142,2110,197
Sat,2023/09/01 23:00:00+00,10:00 AM-11:00 AM,Camera 331 Railway Station,96,898,1860,198
Sat,2023/09/01 23:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,80,2146,250,199
Sat,2023/09/01 23:00:00+00,3:00 PM-4:00 PM,Camera 331 Railway Station,59,1285,1938,200
Fri,2023/08/31 23:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,16,695,12,201
Fri,2023/08/31 23:00:00+00,6:00 PM-7:00 PM,Camera 328 South Marketgait,15,705,1935,202
Fri,2023/08/31 23:00:00+00,7:00 AM-8:00 AM,Camera 320 Westport,15,194,911,203
Fri,2023/08/31 23:00:00+00,10:00 PM-11:00 PM,Camera 331 Railway Station,15,219,477,204
Fri,2023/08/31 23:00:00+00,5:00 PM-6:00 PM,Camera  308 Murraygate,15,1488,15,205
Fri,2023/08/31 23:00:00+00,7:00 AM-8:00 AM,Camera 328 South Marketgait,14,316,1415,206
Fri,2023/08/31 23:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,14,628,1075,207
Fri,2023/08/31 23:00:00+00,8:00 PM-9:00 PM,Camera 331 Railway Station,14,286,882,208
Fri,2023/08/31 23:00:00+00,9:00 PM-10:00 PM,Camera 500 Hilltown,14,135,725,209
Fri,2023/08/31 23:00:00+00,9:00 AM-10:00 AM,Camera 310 - Seagate,14,705,371,210
Fri,2023/08/31 23:00:00+00,6:00 PM-7:00 PM,Camera 310 - Seagate,14,589,289,211
Fri,2023/08/31 23:00:00+00,8:00 PM-9:00 PM,Camera 328 South Marketgait,13,463,1309,212
Fri,2023/08/31 23:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,13,675,1281,213
Fri,2023/08/31 23:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,13,459,1247,214
Fri,2023/08/31 23:00:00+00,7:00 AM-8:00 AM,Camera 500 Hilltown,13,177,631,215
Fri,2023/08/31 23:00:00+00,4:00 PM-5:00 PM,Camera 310 - Seagate,13,889,352,216
Fri,2023/08/31 23:00:00+00,8:00 AM-9:00 AM,Camera 310 - Seagate,13,470,275,217
Fri,2023/08/31 23:00:00+00,1:00 PM-2:00 PM,Camera 323 Union Street,13,950,3,218
Fri,2023/08/31 23:00:00+00,5:00 PM-6:00 PM,Camera 320 Westport,12,665,1497,219
Fri,2023/08/31 23:00:00+00,9:00 PM-10:00 PM,Camera 328 South Marketgait,12,500,900,220
Fri,2023/08/31 23:00:00+00,9:00 PM-10:00 PM,Camera 331 Railway Station,12,221,580,221
Fri,2023/08/31 23:00:00+00,6:00 AM-7:00 AM,Camera 500 Hilltown,12,94,277,222
Fri,2023/08/31 23:00:00+00,6:00 PM-7:00 PM,Camera 317 Reform St,12,1443,176,223
Fri,2023/08/31 23:00:00+00,6:00 AM-7:00 AM,Camera 317 Reform St,12,167,38,224
Fri,2023/08/31 23:00:00+00,7:00 PM-8:00 PM,Camera  308 Murraygate,12,419,7,225
Fri,2023/08/31 23:00:00+00,12:00 PM-1:00 PM,Camera 323 Union Street,12,944,3,226
Fri,2023/08/31 23:00:00+00,9:00 AM-10:00 AM,Camera 328 South Marketgait,11,546,1722,227
Fri,2023/08/31 23:00:00+00,2:00 PM-3:00 PM,Camera 323 Union Street,11,1043,7,228
Fri,2023/08/31 23:00:00+00,11:00 PM-12:00 AM,Camera 331 Railway Station,10,228,466,229
Fri,2023/08/31 23:00:00+00,9:00 AM-10:00 AM,Camera  308 Murraygate,10,1357,16,230
Fri,2023/08/31 23:00:00+00,4:00 PM-5:00 PM,Camera 323 Union Street,10,968,10,231
Fri,2023/08/31 23:00:00+00,10:00 PM-11:00 PM,Camera 500 Hilltown,9,78,553,232
Fri,2023/08/31 23:00:00+00,1:00 PM-2:00 PM,Camera 310 - Seagate,9,1053,535,233
