Day,Date,Hour,Source,Number_of_Bicycles,Number_of_People,Number_of_Road_Vehicles,FID
Wed,2023/08/15 23:00:00+00,12:00 AM-1:00 AM,Camera  308 Murraygate,0,61,24,223
Wed,2023/08/15 23:00:00+00,3:00 AM-4:00 AM,Camera  308 Murraygate,0,9,8,224
Wed,2023/08/15 23:00:00+00,2:00 AM-3:00 AM,Camera  308 Murraygate,0,3,8,225
Wed,2023/08/15 23:00:00+00,4:00 AM-5:00 AM,Camera  308 Murraygate,0,11,1,226
Thu,2023/08/16 23:00:00+00,5:00 PM-6:00 PM,Camera  308 Murraygate,28,1364,9,227
Thu,2023/08/16 23:00:00+00,2:00 PM-3:00 PM,Camera  308 Murraygate,27,2704,8,228
Thu,2023/08/16 23:00:00+00,3:00 PM-4:00 PM,Camera  308 Murraygate,25,2567,13,229
Thu,2023/08/16 23:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,23,3927,20,230
Thu,2023/08/16 23:00:00+00,11:00 AM-12:00 PM,Camera  308 Murraygate,23,3147,18,231
Thu,2023/08/16 23:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,21,3212,34,232
Thu,2023/08/16 23:00:00+00,10:00 AM-11:00 AM,Camera  308 Murraygate,16,2223,15,233
Thu,2023/08/16 23:00:00+00,4:00 PM-5:00 PM,Camera  308 Murraygate,13,2173,7,234
Thu,2023/08/16 23:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,9,415,10,235
Wed,2023/08/08 23:00:00+00,10:00 PM-11:00 PM,Camera  308 Murraygate,1,175,10,236
Thu,2023/08/16 23:00:00+00,9:00 AM-10:00 AM,Camera  308 Murraygate,8,1266,24,237
Thu,2023/08/16 23:00:00+00,8:00 AM-9:00 AM,Camera  308 Murraygate,7,688,13,238
Thu,2023/08/16 23:00:00+00,9:00 PM-10:00 PM,Camera  308 Murraygate,4,427,69,239
Thu,2023/08/16 23:00:00+00,10:00 PM-11:00 PM,Camera  308 Murraygate,4,222,42,240
Thu,2023/08/16 23:00:00+00,7:00 AM-8:00 AM,Camera  308 Murraygate,3,171,8,241
Thu,2023/08/16 23:00:00+00,6:00 AM-7:00 AM,Camera  308 Murraygate,2,47,4,242
Thu,2023/08/16 23:00:00+00,11:00 PM-12:00 AM,Camera  308 Murraygate,1,88,62,243
Thu,2023/08/16 23:00:00+00,8:00 PM-9:00 PM,Camera  308 Murraygate,1,668,35,244
Thu,2023/08/16 23:00:00+00,1:00 AM-2:00 AM,Camera  308 Murraygate,1,20,23,245
Thu,2023/08/16 23:00:00+00,12:00 AM-1:00 AM,Camera  308 Murraygate,0,46,43,246
Thu,2023/08/16 23:00:00+00,7:00 PM-8:00 PM,Camera  308 Murraygate,0,295,14,247
Thu,2023/08/16 23:00:00+00,2:00 AM-3:00 AM,Camera  308 Murraygate,0,74,10,248
Thu,2023/08/16 23:00:00+00,5:00 AM-6:00 AM,Camera  308 Murraygate,0,23,2,249
Thu,2023/08/16 23:00:00+00,4:00 AM-5:00 AM,Camera  308 Murraygate,0,12,2,250
Thu,2023/08/16 23:00:00+00,3:00 AM-4:00 AM,Camera  308 Murraygate,0,16,1,251
Mon,2023/08/06 23:00:00+00,8:00 AM-9:00 AM,Camera  308 Murraygate,7,568,10,252
Wed,2023/08/08 23:00:00+00,11:00 PM-12:00 AM,Camera  308 Murraygate,1,55,5,253
Mon,2023/08/06 23:00:00+00,6:00 AM-7:00 AM,Camera  308 Murraygate,4,49,2,254
Wed,2023/08/08 23:00:00+00,12:00 AM-1:00 AM,Camera  308 Murraygate,1,47,3,255
Mon,2023/08/06 23:00:00+00,7:00 AM-8:00 AM,Camera  308 Murraygate,3,147,10,256
Wed,2023/08/08 23:00:00+00,6:00 AM-7:00 AM,Camera  308 Murraygate,0,48,6,257
Mon,2023/08/06 23:00:00+00,2:00 AM-3:00 AM,Camera  308 Murraygate,2,14,13,258
