Day,Date,Hour,Source,F__of_Bicycles,F__of_People,F__of_Road_Vehicles,FID
Thu,2023/12/28 00:00:00+00,4:00 AM-5:00 AM,Camera 328 South Marketgait,2,19,72,5159
Thu,2023/12/28 00:00:00+00,8:00 AM-9:00 AM,Camera 317 Reform St,2,353,63,5160
Thu,2023/12/28 00:00:00+00,10:00 PM-11:00 PM,Camera 323 Union Street,2,260,48,5161
Thu,2023/12/28 00:00:00+00,5:00 AM-6:00 AM,Camera 323 Union Street,2,12,28,5162
Thu,2023/12/28 00:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,2,1188,6,5163
Thu,2023/12/28 00:00:00+00,7:00 AM-8:00 AM,Camera  308 Murraygate,2,151,6,5164
Thu,2023/12/28 00:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,2,249,2,5165
Thu,2023/12/28 00:00:00+00,5:00 PM-6:00 PM,Camera  308 Murraygate,2,1130,0,5166
Thu,2023/12/28 00:00:00+00,4:00 PM-5:00 PM,Camera 328 South Marketgait,1,675,1859,5167
Thu,2023/12/28 00:00:00+00,4:00 PM-5:00 PM,Camera 320 Westport,1,284,1609,5168
Thu,2023/12/28 00:00:00+00,5:00 PM-6:00 PM,Camera 328 South Marketgait,1,467,1452,5169
Thu,2023/12/28 00:00:00+00,10:00 AM-11:00 AM,Camera 320 Westport,1,153,1390,5170
Thu,2023/12/28 00:00:00+00,2:00 PM-3:00 PM,Camera 320 Westport,1,413,1218,5171
Thu,2023/12/28 00:00:00+00,5:00 PM-6:00 PM,Camera 332 Waterfront,1,101,801,5172
Thu,2023/12/28 00:00:00+00,7:00 PM-8:00 PM,Camera 320 Westport,1,50,592,5173
Wed,2023/12/27 00:00:00+00,11:00 AM-12:00 PM,Camera 323 Union Street,4,85,64,5174
Wed,2023/12/27 00:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,4,1336,35,5175
Wed,2023/12/27 00:00:00+00,4:00 PM-5:00 PM,Camera 320 Westport,3,207,1225,5176
Wed,2023/12/27 00:00:00+00,7:00 PM-8:00 PM,Camera 320 Westport,3,286,665,5177
Wed,2023/12/27 00:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,3,9,492,5178
Wed,2023/12/27 00:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,3,1230,157,5179
Wed,2023/12/27 00:00:00+00,9:00 PM-10:00 PM,Camera 317 Reform St,3,550,53,5180
Wed,2023/12/27 00:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,3,537,17,5181
Wed,2023/12/27 00:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,3,894,5,5182
Wed,2023/12/27 00:00:00+00,3:00 PM-4:00 PM,Camera 320 Westport,2,236,1217,5183
Wed,2023/12/27 00:00:00+00,6:00 PM-7:00 PM,Camera 320 Westport,2,198,867,5184
Wed,2023/12/27 00:00:00+00,9:00 AM-10:00 AM,Camera 328 South Marketgait,2,203,733,5185
Wed,2023/12/27 00:00:00+00,9:00 PM-10:00 PM,Camera 320 Westport,2,260,533,5186
Wed,2023/12/27 00:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,2,9,415,5187
Wed,2023/12/27 00:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,2,4,286,5188
Wed,2023/12/27 00:00:00+00,2:00 AM-3:00 AM,Camera 500 Hilltown,2,17,169,5189
Wed,2023/12/27 00:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,2,506,163,5190
Wed,2023/12/27 00:00:00+00,3:00 PM-4:00 PM,Camera 332 Waterfront,2,32,93,5191
Wed,2023/12/27 00:00:00+00,3:00 AM-4:00 AM,Camera 323 Union Street,2,31,70,5192
Wed,2023/12/27 00:00:00+00,12:00 AM-1:00 AM,Camera 323 Union Street,2,14,56,5193
Wed,2023/12/27 00:00:00+00,9:00 AM-10:00 AM,Camera 317 Reform St,2,351,51,5194
