Day,Date,Hour,Source,F__of_Bicycles,F__of_People,F__of_Road_Vehicles,FID
Thu,2024/09/18 23:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,39,1770,150,199
Thu,2024/09/18 23:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,39,2775,134,200
Wed,2024/09/10 23:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,47,3642,120,201
Fri,2024/09/19 23:00:00+00,4:00 PM-5:00 PM,Camera 328 South Marketgait,46,1326,2347,202
Tue,2024/09/02 23:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,46,853,2287,203
Thu,2024/09/04 23:00:00+00,5:00 PM-6:00 PM,Camera 328 South Marketgait,46,1147,2118,204
Fri,2024/09/05 23:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,46,448,1273,205
Wed,2024/09/24 23:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,46,349,1264,206
Thu,2024/09/04 23:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,46,705,1247,207
Fri,2024/09/19 23:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,46,395,992,208
Wed,2024/09/10 23:00:00+00,7:00 PM-8:00 PM,Camera 500 Hilltown,46,226,900,209
Sun,2024/09/14 23:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,46,2462,178,210
Sat,2024/09/20 23:00:00+00,1:00 PM-2:00 PM,Camera 317 Reform St,46,4393,151,211
Fri,2024/09/05 23:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,46,3221,93,212
Fri,2024/09/26 23:00:00+00,9:00 PM-10:00 PM,Camera  308 Murraygate,46,459,49,213
Mon,2024/09/22 23:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,45,932,2727,214
Wed,2024/09/10 23:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,45,510,1296,215
Tue,2024/09/23 23:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,45,549,1215,216
Thu,2024/09/18 23:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,45,615,1165,217
Thu,2024/09/18 23:00:00+00,7:00 PM-8:00 PM,Camera 500 Hilltown,45,272,968,218
Sun,2024/09/28 23:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,45,409,740,219
Tue,2024/09/02 23:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,45,2000,233,220
Sun,2024/09/07 23:00:00+00,1:00 PM-2:00 PM,Camera 317 Reform St,45,3004,178,221
Fri,2024/09/12 23:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,45,1726,135,222
Thu,2024/09/18 23:00:00+00,5:00 PM-6:00 PM,Camera 328 South Marketgait,44,1139,2723,223
Mon,2024/09/08 23:00:00+00,5:00 PM-6:00 PM,Camera 328 South Marketgait,44,659,2252,224
Wed,2024/09/10 23:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,44,617,1352,225
Fri,2024/09/19 23:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,44,456,1351,226
Mon,2024/09/08 23:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,44,1014,1229,227
Mon,2024/09/15 23:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,44,468,1155,228
Sat,2024/09/20 23:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,44,298,1078,229
Sun,2024/09/07 23:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,44,275,871,230
Sun,2024/09/28 23:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,44,201,715,231
Sat,2024/09/06 23:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,44,2981,248,232
Sat,2024/09/20 23:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,44,4446,235,233
Wed,2024/09/03 23:00:00+00,4:00 PM-5:00 PM,Camera 317 Reform St,44,2956,107,234
Sat,2024/09/06 23:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,44,4074,61,235
Thu,2024/09/25 23:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,43,1001,2417,236
Tue,2024/09/09 23:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,43,487,1313,237
Wed,2024/09/10 23:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,43,302,1132,238
Sat,2024/09/20 23:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,43,362,1131,239
Sat,2024/09/20 23:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,43,374,971,240
Sun,2024/09/28 23:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,43,310,748,241
Fri,2024/09/05 23:00:00+00,9:00 AM-10:00 AM,Camera 317 Reform St,43,1139,178,242
Thu,2024/09/18 23:00:00+00,12:00 PM-1:00 PM,Camera 323 Union Street,43,954,165,243
Sun,2024/09/28 23:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,43,1494,130,244
Mon,2024/09/08 23:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,43,2044,125,245
Thu,2024/09/18 23:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,43,2066,13,246
Sat,2024/09/06 23:00:00+00,10:00 PM-11:00 PM,Camera 317 Reform St,43,821,11,247
Fri,2024/09/05 23:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,42,538,1267,248
Wed,2024/09/10 23:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,42,381,1079,249
Wed,2024/09/17 23:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,42,584,1068,250
Fri,2024/09/05 23:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,35,467,1368,251
Tue,2024/09/09 23:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,35,528,1305,252
Tue,2024/09/02 23:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,35,312,1243,253
Wed,2024/09/10 23:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,35,530,1187,254
