Day,Date,Hour,Source,Number_of_Bicycles,Number_of_People,Number_of_Road_Vehicles,FID
Mon,2023/10/01 23:00:00+00,1:00 PM-2:00 PM,Camera 331 Railway Station,33,272,1962,107
Sun,2023/09/30 23:00:00+00,1:00 AM-2:00 AM,Camera 317 Reform St,3,452,21,108
Mon,2023/10/01 23:00:00+00,6:00 PM-7:00 PM,Camera 328 South Marketgait,31,872,1752,109
Sun,2023/09/30 23:00:00+00,7:00 AM-8:00 AM,Camera 323 Union Street,3,77,20,110
Mon,2023/10/01 23:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,31,416,966,111
Sun,2023/09/30 23:00:00+00,8:00 PM-9:00 PM,Camera  308 Murraygate,3,252,11,112
Mon,2023/10/01 23:00:00+00,9:00 AM-10:00 AM,Camera 317 Reform St,31,912,165,113
Sun,2023/09/30 23:00:00+00,10:00 AM-11:00 AM,Camera  308 Murraygate,3,699,9,114
Mon,2023/10/01 23:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,29,2846,14,115
Sun,2023/09/30 23:00:00+00,10:00 AM-11:00 AM,Camera 328 South Marketgait,2,531,1244,116
Mon,2023/10/01 23:00:00+00,1:00 PM-2:00 PM,Camera 317 Reform St,28,3108,132,117
Sun,2023/09/30 23:00:00+00,9:00 PM-10:00 PM,Camera 500 Hilltown,2,146,469,118
Mon,2023/10/01 23:00:00+00,2:00 PM-3:00 PM,Camera  308 Murraygate,28,2070,17,119
Sun,2023/09/30 23:00:00+00,6:00 PM-7:00 PM,Camera 320 Westport,2,701,447,120
Mon,2023/10/01 23:00:00+00,10:00 PM-11:00 PM,Camera 310 - Seagate,5,146,125,121
Mon,2023/10/01 23:00:00+00,4:00 PM-5:00 PM,Camera 328 South Marketgait,27,988,2262,122
Mon,2023/10/01 23:00:00+00,6:00 PM-7:00 PM,Camera 320 Westport,25,1093,1554,123
Mon,2023/10/01 23:00:00+00,1:00 PM-2:00 PM,Camera 328 South Marketgait,24,806,1836,124
Mon,2023/10/01 23:00:00+00,7:00 AM-8:00 AM,Camera 328 South Marketgait,23,314,1524,125
Mon,2023/10/01 23:00:00+00,7:00 PM-8:00 PM,Camera 331 Railway Station,23,301,1274,126
Mon,2023/10/01 23:00:00+00,7:00 AM-8:00 AM,Camera 331 Railway Station,22,65,1682,127
Mon,2023/10/01 23:00:00+00,11:00 AM-12:00 PM,Camera 328 South Marketgait,21,936,1885,128
Mon,2023/10/01 23:00:00+00,2:00 PM-3:00 PM,Camera 328 South Marketgait,21,999,1832,129
Mon,2023/10/01 23:00:00+00,4:00 PM-5:00 PM,Camera 320 Westport,19,1423,2337,130
Sun,2023/09/30 23:00:00+00,7:00 PM-8:00 PM,Camera 320 Westport,2,584,415,131
Sun,2023/09/30 23:00:00+00,7:00 AM-8:00 AM,Camera 328 South Marketgait,2,79,404,132
Sun,2023/09/30 23:00:00+00,11:00 PM-12:00 AM,Camera 500 Hilltown,2,43,278,133
Sun,2023/09/30 23:00:00+00,11:00 PM-12:00 AM,Camera 328 South Marketgait,2,196,237,134
Sun,2023/09/30 23:00:00+00,6:00 AM-7:00 AM,Camera 320 Westport,2,49,148,135
Sun,2023/09/30 23:00:00+00,2:00 AM-3:00 AM,Camera 310 - Seagate,2,331,131,136
Sun,2023/09/30 23:00:00+00,5:00 AM-6:00 AM,Camera 331 Railway Station,2,8,112,137
Sun,2023/09/30 23:00:00+00,3:00 AM-4:00 AM,Camera 310 - Seagate,2,274,109,138
Sun,2023/09/30 23:00:00+00,7:00 AM-8:00 AM,Camera 310 - Seagate,2,105,31,139
Sun,2023/09/30 23:00:00+00,2:00 AM-3:00 AM,Camera 317 Reform St,2,638,16,140
Sun,2023/09/30 23:00:00+00,3:00 AM-4:00 AM,Camera 323 Union Street,2,70,16,141
Sun,2023/09/30 23:00:00+00,9:00 PM-10:00 PM,Camera 323 Union Street,2,373,14,142
Sun,2023/09/30 23:00:00+00,10:00 PM-11:00 PM,Camera 323 Union Street,2,210,13,143
Sun,2023/09/30 23:00:00+00,3:00 AM-4:00 AM,Camera 317 Reform St,2,828,10,144
Sun,2023/09/30 23:00:00+00,11:00 AM-12:00 PM,Camera 323 Union Street,2,486,9,145
Sun,2023/09/30 23:00:00+00,6:00 AM-7:00 AM,Camera 317 Reform St,2,114,6,146
Sun,2023/09/30 23:00:00+00,8:00 AM-9:00 AM,Camera  308 Murraygate,2,102,4,147
Sun,2023/09/30 23:00:00+00,6:00 AM-7:00 AM,Camera 323 Union Street,2,28,2,148
Sun,2023/09/30 23:00:00+00,4:00 PM-5:00 PM,Camera 320 Westport,1,659,572,149
Sun,2023/09/30 23:00:00+00,12:00 AM-1:00 AM,Camera 500 Hilltown,1,21,379,150
Sun,2023/09/30 23:00:00+00,12:00 AM-1:00 AM,Camera 328 South Marketgait,1,120,301,151
Mon,2023/10/01 23:00:00+00,12:00 AM-1:00 AM,Camera 323 Union Street,5,237,82,152
Mon,2023/10/01 23:00:00+00,4:00 PM-5:00 PM,Camera 323 Union Street,5,636,13,153
Mon,2023/10/01 23:00:00+00,10:00 AM-11:00 AM,Camera 323 Union Street,5,462,13,154
Mon,2023/10/01 23:00:00+00,7:00 PM-8:00 PM,Camera  308 Murraygate,5,309,8,155
Mon,2023/10/01 23:00:00+00,9:00 PM-10:00 PM,Camera 328 South Marketgait,4,380,580,156
Mon,2023/10/01 23:00:00+00,1:00 PM-2:00 PM,Camera 310 - Seagate,4,1891,449,157
Mon,2023/10/01 23:00:00+00,8:00 PM-9:00 PM,Camera 310 - Seagate,4,256,197,158
